,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
19,1071,1112,1111,1074,1033,1036,995,998,960,922
23,1442,1709,1747,1480,1404,1366,1785,1518,1556,1328
25,32,34,28,35,74,72,71,110,2933,37
42,1115,1119,1153,1191,1081,1043,1005,1157,1195,1233
45,1104,1142,1066,1180,1218,1028,990,952,914,1256
53,814,774,735,813,851,697,776,738,737,775
55,603,608,570,641,679,716,677,642,715,752
61,2654,2698,2617,2653,2652,2651,2688,2649,2687,2686
100,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
102,1213,1250,1212,1175,1251,1289,1327,1365,1403,1441
117,1049,1079,1087,1117,1155,1041,1003,965,927,1193
118,2557,2594,2595,2556,2555,2593,2592,2596,2597,2939
119,1156,1163,1125,1118,1080,1042,1201,1239,1087,1049
123,1091,1128,1053,1090,1015,977,1129,1052,1014,976
145,494,798,797,835,873,911,949,987,1025,1063
159,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
170,3030,874,912,950,836,1557,1519,1481,1443,1405
182,2015,1977,1939,2931,2016,1978,1940,2053,2092,2054
184,415,416,379,341,380,342,453,492,490,491
185,985,988,1023,947,909,871,1061,1099,1137,1026
192,494,532,493,531,569,3016,646,684,570,608
197,1120,1122,1082,1044,1160,1198,1236,1274,1312,1350
198,3017,550,588,549,586,444,405,585,624,587
200,2485,2561,2523,2598,2560,2559,2524,2600,2487,2525
207,1055,2717,1093,2679,2716,2680,2681,2718,2719,1017
211,2677,2678,2639,2676,2675,2674,2982,2713,2714,2715
232,38,14,11,36,30,2937,6,4,2,3
237,1030,1751,1789,1713,1675,1637,1599,1561,1827,1865
251,1663,1739,1625,1587,1701,1777,1815,1853,1891,1929
263,2459,1000,2498,1038,1076,1114,1152,962,924,886
273,1923,1885,1847,1809,1771,1733,1695,1961,1998,1999
280,1010,1237,972,1275,1199,1161,934,896,1123,1085
293,1001,1033,1039,1071,963,995,1077,1115,1153,1191
299,1052,1394,1432,1470,1508,1546,1584,1622,1660,1698
306,1125,1163,1201,1239,1087,1049,1277,1315,1353,1391
311,1939,2207,1977,2244,1940,2246,2247,2284,2322,2360
330,38,417,456,36,30,2937,454,455,418,530
342,1668,2081,2080,2042,1706,1744,1782,1820,1858,1896
351,2646,206,2684,2647,2686,2687,2649,2644,2605,2643
361,442,517,518,516,515,480,477,476,405,444
385,766,729,2987,691,653,652,651,727,726,689
398,988,1063,1101,1139,3014,1025,987,949,1177,1215
401,1054,1016,1092,1130,1168,978,940,1167,1205,902
406,913,951,989,1027,1065,1103,1141,1179,1217,1255
421,1178,1063,1140,1216,1101,1139,3014,1102,1064,1025
436,1009,1008,1046,1047,971,933,970,895,1084,1122
437,1196,1125,1234,1163,1158,1201,1239,1272,1310,1120
446,2407,2366,3015,2446,2409,2993,2369,2406,2367,2368
459,1091,1054,1053,1092,1015,977,1130,1129,1016,1168
464,2633,2592,2632,2631,2593,2594,2591,2590,2589,2551
467,2943,1288,1326,1364,1402,1440,1478,1516,1554,1250
471,1153,1155,1115,1191,1117,1079,1041,1003,965,927
480,843,884,881,919,957,844,882,920,958,922
488,1149,1152,1187,1225,1114,1076,3007,2936,1073,1035
519,380,414,341,379,416,415,342,453,492,490
523,437,168,167,474,473,472,475,514,552,553
