,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
5,485,524,562,523,487,522,486,449,484,447
18,1149,1189,1227,2992,1265,1303,1341,1379,1417,1187
26,60,253,61,100,64,104,67,58,56,55
46,1489,2949,1451,1342,1380,1304,1266,1527,1418,1456
47,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
66,2847,2845,2848,2999,2811,2884,2883,2810,2772,2734
70,2969,2769,2808,2733,2695,2696,2806,2844,2805,2843
83,807,1114,1076,1152,1038,845,1000,962,924,886
84,533,609,610,571,572,535,574,536,573,611
85,1329,1368,1406,1330,1292,1444,3038,1367,1405,1291
96,2597,2636,2939,2637,2638,2599,2596,2595,2557,2556
97,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
110,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
112,1903,1635,1673,1711,1597,1749,1559,1521,1787,1825
113,1520,1634,1482,1672,1444,1406,1368,1330,1292,3038
128,645,683,607,722,644,605,606,568,530,567
146,569,3016,646,684,531,493,532,570,608,494
151,76,38,114,36,30,2937,73,37,74,35
153,760,988,1026,1064,1102,1140,1178,1216,1254,721
155,1128,1205,1090,1167,1052,1014,976,2977,1166,938
173,1205,92,1167,91,1168,1130,1092,1054,1016,978
178,2651,2733,2652,2695,2808,2688,2769,2969,2696,2806
216,751,2570,2608,2607,2606,2567,2604,752,2566,2565
244,1292,1330,1368,1406,1444,3038,1482,1520,1558,1254
246,1792,1445,1407,1369,1331,1754,1716,1678,1640,1602
247,2996,1634,1672,1596,1710,1748,1786,1824,1862,1900
259,2657,2658,2732,2770,2731,2768,2767,2728,2727,2764
261,1033,1070,1032,1071,1108,1146,1147,1185,1223,1261
321,1890,1150,1852,1188,1814,2947,1226,1776,1738,1700
332,76,38,114,36,30,2937,73,37,74,35
356,1099,1363,1061,1137,1325,1287,1249,1211,1401,1439
359,1661,740,1699,1623,1737,2945,1585,1547,1509,1471
370,1139,1178,1140,1216,1101,1063,3014,1102,1064,1025
395,3030,1252,1290,1557,1519,1481,1443,1405,1367,1329
400,1026,1402,1440,1478,1516,1554,1064,1102,1140,1178
402,1558,1861,1823,1899,1937,1975,2013,1520,1482,1444
405,1152,1157,1195,1114,1076,1233,1271,1038,1000,1308
407,380,988,341,379,416,415,342,1026,1064,1102
413,889,928,966,1004,1042,1080,1118,1156,1194,1232
427,1255,1485,1293,1523,1217,1447,1179,1141,1103,1065
438,1153,1155,1115,1191,1117,1079,1041,1003,965,927
440,263,265,264,226,187,224,148,149,111,147
461,1013,1049,1051,1087,1125,1163,1201,1239,975,937
469,533,609,610,571,572,535,574,536,573,611
485,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
498,2132,2095,2096,2170,2171,2097,2058,2021,1983,1984
508,481,518,482,517,516,515,520,521,480,477
509,994,993,955,917,1031,956,918,880,916,842
511,478,1128,479,439,1090,441,1052,1014,976,2977
537,1091,1130,1053,1015,977,1092,1054,1129,1016,1168
549,2668,2672,2669,2707,2708,2746,2747,2748,2711,2749
559,1360,1291,1253,1329,1367,1405,1322,1398,1443,1481
563,977,1014,1015,1053,1091,976,1052,1129,1090,1128
582,1131,1015,1169,977,1053,1091,1129,1093,1055,1017
586,46,86,49,47,81,43,80,79,116,115
598,1701,1776,1739,1777,1815,1738,1700,1662,1624,1586
605,1222,1228,1190,1184,1229,1145,1107,1266,1304,1342
607,2207,1939,1977,2244,1940,2246,2247,2284,2322,2360
609,913,1104,1142,951,989,1027,1066,1180,1218,1065
630,759,797,835,873,911,949,987,1025,1063,1101
632,935,1279,1317,1241,1355,1393,1431,1469,1507,1545
635,478,405,479,439,441,401,444,3017,442,445
642,1329,1026,1367,1405,1291,1253,1443,1481,1519,1557
651,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
664,191,117,156,118,119,2966,83,155,154,115
669,3038,1669,1707,1292,1330,1368,1406,1444,1482,1520
689,379,454,341,455,380,416,415,342,453,417
692,1177,1861,1215,1823,1899,1937,1975,2013,3014,1139
699,162,328,123,125,327,121,159,197,196,126
704,1003,1007,969,965,927,1041,1079,1117,1155,1193
721,38,11,14,36,30,2937,6,4,2,3
727,1028,1027,989,951,913,1065,1103,1141,1179,990
734,1481,1367,1443,1405,1519,1557,1329,1291,1253,3030
794,1926,1888,1850,1964,1812,2980,1774,1736,1698,1660
796,839,801,878,840,802,765,763,725,724,685
804,340,2048,2010,3027,1972,1934,1896,1858,1820,1782
805,1049,2721,2720,2683,2722,2685,2964,2724,1087,2725
819,1078,1040,1002,964,1116,1154,1192,1230,1268,1267
827,1620,1541,1658,1582,1544,1506,1468,1430,1392,1696
842,449,757,756,794,793,831,869,907,945,983
849,1315,1048,1277,1353,1391,1429,1467,1505,1543,1581
873,1114,1112,1076,1111,1152,1074,1036,1038,1000,998
876,2806,2810,2772,2734,2969,2769,2808,2733,2695,2696
882,2989,379,341,1632,380,416,415,342,1670,1555
884,485,790,791,486,449,523,562,524,487,522
895,524,453,415,416,379,341,380,342,562,523
900,1588,2962,1626,1664,1702,1740,1778,1816,1854,1511
906,1251,1596,1634,1672,1710,1748,1786,1824,1862,1900
908,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
913,133,172,210,170,208,206,205,173,174,175
914,46,443,86,49,47,481,482,520,521,560
920,341,414,379,380,416,415,342,453,492,490
926,759,793,831,869,907,945,983,1021,1059,1097
931,1738,1167,1700,1662,1624,1586,1205,1776,2947,1814
938,1048,1049,1087,1125,1163,1201,1239,1086,1010,972
941,438,536,574,535,572,610,609,571,573,611
948,1147,1148,1185,1223,1261,1299,2988,1337,1375,1413
951,2320,2281,2358,2319,2243,2282,2244,2207,2246,2247
952,1205,1202,1164,1167,1240,1126,1088,1050,1012,974
953,1708,1290,1746,1784,1822,1860,1252,2956,1898,1936
955,2058,2674,2675,2676,2639,2678,2982,2096,2095,2097
985,1055,1283,1321,1093,1245,1207,1017,1131,1169,1206
