,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
4,164,53,55,3012,56,163,161,165,166,160
16,2890,2894,2891,2895,2855,2854,2853,2852,2813,3036
20,79,156,117,116,80,43,81,118,119,2966
22,2943,1288,1326,1364,1402,1440,1478,1516,1554,1250
38,1177,1026,1215,1064,1102,1140,1178,1216,1254,3014
57,1120,1083,1082,1044,1045,1158,1196,1234,1272,1310
68,2627,2939,2597,2628,2629,2599,2596,2595,2557,2556
91,46,88,86,49,87,85,124,84,122,120
109,2949,1142,1342,1380,1304,1266,1418,1456,1494,1532
132,32,38,28,36,30,2937,35,74,37,26
135,378,380,341,379,416,415,342,2935,377,453
148,2717,2678,2639,2679,2716,2676,2680,2681,2675,2674
179,1139,1102,1064,1101,1063,3014,1140,1178,1216,1025
183,1738,444,1700,1662,1624,1586,1776,2947,1814,1852
187,1052,1090,1128,1014,976,2977,1166,938,900,862
188,163,204,161,203,202,201,200,164,3012,165
201,1052,1015,977,1053,1091,1014,976,1129,1090,1128
202,2281,2320,2358,2319,2243,2282,2244,2207,2246,2247
213,234,198,3031,233,160,161,163,164,3012,165
222,602,640,678,601,638,639,564,676,714,527
233,60,10,2976,61,100,64,104,67,12,13
238,989,1293,1255,1217,951,1027,913,1065,1103,1141
248,3014,1405,1367,1329,1291,1253,1139,1101,1063,1443
250,2015,1977,1939,2931,2016,1978,1940,2053,2092,2054
255,1815,1738,1700,1662,1624,1777,1586,1739,1701,1776
268,75,147,111,149,108,144,106,105,142,65
281,1097,683,1059,1021,1135,983,945,907,869,831
282,2989,3030,1632,1557,1519,1481,1443,1405,1367,1329
288,1025,1062,987,1063,1101,1139,3014,1100,1138,949
298,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
300,2353,3038,1292,1330,1368,1406,1444,1482,1520,1558
310,1150,1270,1188,1232,1194,1226,1264,1302,1340,1378
317,764,2366,3015,2993,2403,2440,2367,2406,2369,2407
318,1009,1083,1047,971,933,1045,895,1121,1159,1197
329,1077,1043,1081,1119,1005,1039,1001,963,1157,1195
335,2299,2338,2336,2297,2339,2301,2340,2337,2303,3000
358,517,550,518,516,515,588,549,586,480,477
362,2733,2655,2695,2693,2808,2692,2691,2690,2689,2769
367,1916,1873,1835,1797,1759,1721,1878,1911,1949,1987
387,988,684,1026,1064,1102,1140,1178,1216,1254,950
396,1250,1253,1291,1212,1329,1367,1405,1443,1481,1519
415,2885,2968,2888,2886,2887,2922,2919,2917,2916,2911
422,558,596,557,559,598,597,634,672,595,633
441,951,2282,2243,989,1027,913,1065,1103,1141,1179
442,1083,1049,1087,1045,1125,1163,1201,1239,1121,1159
452,1063,1102,1064,1101,1139,3014,1140,1178,1216,1025
465,253,290,251,250,249,248,209,171,207,244
476,2329,960,998,922,1036,1074,1112,1111,1150,1188
478,1308,1887,1849,1811,1773,1346,1384,1422,1460,1498
484,1394,1052,1432,1470,1508,1546,1584,1622,1660,1698
500,973,974,936,1011,935,897,1012,898,860,1050
525,1630,1668,1706,1744,1782,1820,1858,1896,1592,1934
526,1128,1093,1055,1090,1052,1014,976,2977,1017,1131
530,134,366,367,132,131,328,327,135,169,368
539,347,384,2978,385,345,424,386,387,349,306
541,1597,1635,1673,1711,1749,1559,1521,1787,1825,1863
