,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
3,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
24,2575,2498,2459,2461,2500,2463,2614,2576,2539,2537
28,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
29,2673,2709,2712,2710,2671,2670,2713,2714,2715,2754
40,2589,2243,2282,2551,2590,2591,2592,2593,2594,2552
44,801,648,839,647,3026,878,840,802,765,611
49,1470,1472,1510,1432,1394,1508,1546,1584,1622,1660
60,338,261,298,259,257,294,255,254,216,215
79,1361,714,1323,1399,1285,1247,1209,1171,2963,1133
86,1124,1123,1085,1162,1200,1238,1276,1314,1352,1390
87,105,138,106,144,108,99,65,142,147,111
106,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
108,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
114,401,476,439,478,479,441,477,515,516,517
122,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
142,929,930,968,891,1006,1044,1082,1120,1158,1196
161,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
166,117,57,94,156,118,119,2966,83,155,59
169,467,503,502,468,504,463,500,466,465,464
171,2751,363,2750,2752,2753,2792,2755,2756,2715,2754
175,496,327,534,328,495,497,366,367,368,331
186,1319,1356,1318,1280,2967,1242,1394,1432,1470,1508
193,1102,1026,1064,1140,1178,1216,1254,988,950,912
231,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
239,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
243,330,331,370,333,368,293,332,295,367,366
253,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
284,1125,1155,1163,1117,1079,1201,1239,1041,1003,965
289,651,649,3023,688,652,653,691,729,686,687
307,1167,1129,1205,1091,1053,1015,977,1168,1130,1092
312,337,380,341,379,416,415,342,453,492,490
316,931,932,894,856,969,1007,1045,1083,1121,1159
323,426,387,349,425,424,385,384,2978,345,306
324,641,2736,2773,2774,679,716,677,603,642,715
327,1411,1450,1449,1373,1451,1489,1527,1565,1603,1641
350,1187,1193,1225,1231,1149,3007,2936,1073,1035,997
353,962,2373,2335,2374,2334,2372,2333,924,886,848
363,451,489,526,525,563,600,599,636,674,635
380,2487,2525,2524,2523,2485,2564,2527,2528,2529,2568
388,1129,1147,1185,1223,1261,1299,2988,1337,1375,1413
390,2625,2665,2666,2667,2706,2624,2664,2586,2942,2548
391,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
397,17,20,15,13,12,10,2976,23,21,19
399,741,743,780,781,819,742,818,856,894,932
408,135,173,134,132,131,169,168,167,204,203
419,15,52,51,54,17,19,13,12,21,10
429,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
432,2416,2334,2417,2372,2333,2418,2335,2373,2374,2415
434,1472,1984,1510,1946,1908,1548,1983,2021,1434,1396
445,1433,1434,1396,1471,1509,1358,1395,1357,1547,1585
477,1454,1456,1494,1532,1418,1380,2949,1342,1304,1266
493,541,579,540,580,543,581,582,545,546,509
513,803,426,425,804,805,767,806,844,882,920
521,1130,1131,1169,1092,1054,1016,1168,978,940,1093
527,617,618,2965,619,654,615,577,657,620,3033
532,1303,1266,1265,1304,1341,1342,2949,1380,1379,2992
552,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
568,22,24,26,66,28,32,35,74,37,18
573,847,883,921,959,997,1035,1073,2936,3007,1149
580,1130,1131,1169,1092,1054,1016,1168,978,940,1093
589,2751,2441,2750,2752,2753,2792,2755,2756,2480,2518
603,962,2373,2335,2374,2334,2372,2333,924,886,848
610,585,622,623,661,624,587,625,626,627,628
626,1504,1769,1731,1693,1655,1617,1542,1580,1618,1656
629,1338,1339,1300,1377,1376,1415,1453,3021,1491,1529
634,710,748,671,673,749,747,635,788,750,713
640,451,489,526,525,563,600,599,636,674,635
647,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
658,2601,2640,2600,2561,2598,2560,2559,2641,2603,2642
668,2974,1325,1287,1249,1211,1363,1401,1439,1477,1515
670,1009,1011,1047,971,933,895,973,935,897,859
675,2652,2735,2651,2688,2984,2734,2772,2810,2811,2999
678,2689,2690,2691,2692,2693,2655,2726,2725,2724,2964
679,919,843,881,957,844,882,920,958,806,767
682,788,824,786,750,713,823,861,899,937,975
687,970,972,1010,934,1008,1046,896,1084,1122,1160
697,1152,1114,1076,1038,1000,962,924,886,848,1190
720,685,686,724,725,763,687,649,3023,688,764
724,2512,2475,2511,2510,2433,2471,2476,2439,2477,2478
735,1203,1204,1242,2967,1280,1318,1356,1394,1432,1470
753,817,820,779,858,896,934,972,1010,1048,1086
764,1323,1359,1397,1361,1399,1285,1247,1209,1171,2963
770,1411,1450,1449,1373,1451,1489,1527,1565,1603,1641
779,2182,1220,1258,1296,1334,1372,1410,3039,1448,1486
806,847,885,923,961,999,1036,1074,1112,1111,998
828,1884,1885,1923,1847,1846,1808,1770,1732,1809,1771
838,560,695,696,561,521,520,482,481,657,619
840,2660,2619,2657,2732,2770,2731,2768,2767,2728,2727
847,1102,1026,1064,1140,1178,1216,1254,988,950,912
866,3001,2314,2239,2201,2277,2200,2161,2123,2085,2084
870,1824,1402,1786,1440,1748,1710,1862,1900,1938,1976
883,259,61,257,294,255,60,100,64,104,67
890,1824,1402,1786,1440,1748,1710,1862,1900,1938,1976
896,1641,1680,1679,1717,1755,1718,1603,1565,3005,1527
902,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
907,1102,1026,1064,1140,1178,1216,1254,988,950,912
918,676,770,714,639,678,640,808,846,884,922
947,986,2617,1024,948,1062,1100,1138,910,1176,1214
961,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
964,1088,1089,1126,1050,1127,1165,1012,974,936,898
966,3033,584,621,660,620,547,658,698,2955,583
982,529,528,567,605,644,606,568,530,604,566
986,2112,2037,2074,2075,1999,1998,1961,1923,1885,1847
992,2488,962,2526,924,886,848,1000,1038,1076,1114
1023,2418,1435,1473,2417,2416,1511,2415,2453,2380,2381
1025,1015,1055,1093,977,1053,1091,1129,1017,1131,1169
1029,1124,1123,1085,1162,1200,1238,1276,1314,1352,1390
1049,2041,2118,2003,2079,2156,2194,2195,2233,2234,2197
1058,2521,675,637,638,601,602,564,527,2559,2560
1070,2928,55,53,56,48,58,45,82,50,90
1071,1950,1988,2026,2064,1989,1951,2997,1914,1913,2971
1089,1257,927,1219,965,1181,1143,1105,1067,1029,991
1090,37,114,76,74,35,32,28,26,66,24
1107,2625,2665,2666,2667,2706,2624,2664,2586,2942,2548
1129,1152,1114,1076,1038,1000,962,924,886,848,1190
1131,158,197,196,159,121,157,120,122,84,124
1180,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
1181,413,414,452,490,453,415,416,379,341,380
1184,643,682,680,718,717,755,754,753,715,752
1194,337,380,341,379,416,415,342,453,492,490
1207,897,898,935,860,973,1011,936,974,1012,1050
1208,1472,1504,1510,1542,1580,1618,1656,1694,1548,1466
1211,1954,2179,2216,1992,1916,1878,1840,1802,1764,1726
1222,1338,1339,1300,1377,1376,1415,1453,3021,1491,1529
1234,1220,1222,1258,1184,1296,1334,1372,1410,3039,1448
1266,2521,2443,2481,2442,2559,2560,2598,2561,2600,2601
1278,2952,1745,1783,1821,1684,1646,1608,1570,1532,1494
1296,3033,132,131,621,660,620,134,658,135,698
1297,1520,1551,1589,1627,1482,1665,1703,1741,1779,1444
