,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
3,1253,1593,1291,1329,1367,1405,1443,1481,1519,1557
24,2197,2575,2159,2614,2576,2539,2234,2233,2195,2194
28,1059,1097,1021,1135,983,945,907,869,831,793
29,2719,2723,2761,2718,2762,2717,2679,2716,2680,2681
40,1978,2091,2130,2016,2931,2015,2093,2055,2056,2017
44,840,801,839,878,802,765,763,725,724,685
49,1735,1810,1848,1886,1697,1659,1621,1583,1924,1962
60,438,286,247,287,399,436,435,434,433,470
79,1020,1323,1361,982,1399,944,906,1285,1247,1209
86,1077,1076,1114,1152,1038,1000,1039,1001,963,962
87,2102,2103,2063,2101,2065,2027,2138,2176,2175,2137
106,1181,1149,1143,1187,1225,1105,1067,1029,1219,1257
108,3030,379,341,380,416,415,1557,1519,1481,1443
114,172,210,208,206,170,133,205,173,174,175
122,988,1405,1367,1329,1291,1253,1443,1481,1519,1557
142,1125,1202,1164,1163,1201,1239,1240,1087,1049,1277
161,1593,1630,1631,1668,1706,1744,1782,1820,1858,1896
166,121,442,159,197,196,123,162,125,126,127
169,572,610,609,571,535,574,536,573,611,650
171,2875,2751,2838,2839,2840,2873,2750,2752,2753,2792
175,364,365,404,2995,363,405,444,3017,442,445
186,1049,1013,1051,1087,1125,1163,1201,1239,975,937
193,988,1025,987,1063,1101,1139,3014,949,1177,1215
231,1190,1229,1228,1266,1304,1342,2949,1380,1418,1456
239,1558,1557,1519,1481,1443,1405,1367,1329,1291,1253
243,407,549,586,550,588,585,624,587,625,626
253,1292,1291,1330,1253,1368,1406,1444,3038,1329,1367
284,3029,517,518,516,515,480,477,476,826,864
289,536,574,535,572,610,609,571,573,611,650
307,1128,781,1090,1052,1014,976,2977,819,1166,743
312,341,380,379,416,415,342,453,492,490,491
316,1205,1196,1234,1167,1158,1272,1310,1120,1082,1044
323,2631,2592,2632,2633,2593,2594,2591,2590,2589,2551
324,3038,683,1292,1330,1368,1406,1444,1482,1520,1558
327,1150,1685,1647,1188,1609,1571,1533,1495,1457,1419
350,1150,1153,1115,1188,1191,1226,1264,1302,1340,1378
353,900,972,1010,862,934,896,938,1048,1086,1124
363,38,2937,30,36,16,14,11,6,4,2
380,788,824,786,750,713,823,861,899,937,975
388,1146,1153,1115,1108,1191,1070,1032,1147,1185,1223
390,1183,2171,1221,1259,1297,1335,2951,1373,1411,1449
391,2124,1668,1706,2087,1744,1782,1820,1858,1896,1630
397,28,32,35,74,37,26,66,24,22,18
399,400,711,712,749,748,747,788,750,713,785
408,138,400,99,65,142,401,439,478,479,441
419,34,38,36,30,2937,72,71,110,2933,68
429,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
432,828,789,866,904,942,980,1018,827,865,903
434,1848,1431,1393,1886,1810,1469,1507,1545,1355,1317
445,1738,1091,1700,1662,1624,1053,1586,1015,977,1129
477,1011,843,973,935,897,881,919,957,844,882
493,2480,2443,2481,2442,2441,2518,2519,2520,2521,2559
513,498,723,459,458,3011,419,3024,762,761,799
521,1054,1130,1092,1016,1168,978,940,1167,1205,902
527,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
532,1195,1228,1190,1157,1229,1233,1271,1308,1346,1384
552,684,1668,1706,1744,1782,1820,1858,1896,1630,1592
