,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
8,1319,1356,1318,1280,2967,1242,1394,1432,1470,1508
11,19,796,54,52,51,759,834,872,910,948
17,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
34,1102,1026,1064,1140,1178,1216,1254,988,950,912
35,341,413,379,380,416,415,342,453,492,490
48,1187,1193,1225,1231,1149,3007,2936,1073,1035,997
50,609,887,610,849,811,571,925,773,572,535
63,584,11,14,547,583,622,623,661,662,663
67,1954,2179,2216,1992,1916,1878,1840,1802,1764,1726
72,1437,1816,1778,1854,1740,1702,1664,1626,1588,2962
74,1129,1396,1434,1358,1091,1053,1015,977,1472,1510
76,2208,2672,2169,2209,2131,2132,2170,2171,2172,2210
93,2625,2665,2666,2667,2706,2624,2664,2586,2942,2548
136,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
137,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
140,1811,2071,2109,1849,1887,1773,2146,2184,2222,2221
141,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
160,739,775,737,701,663,662,738,776,814,813
191,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
204,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
205,1395,1125,1357,1163,1433,1471,1509,1201,1239,1547
221,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
234,2430,2011,2049,2391,2930,2431,2469,2126,2164,2048
235,910,833,948,986,1024,1062,1100,1138,1176,1214
241,1905,1941,1867,1829,1791,1903,1943,1981,1753,1715
249,2182,1454,1416,1378,1340,1302,1264,1492,1530,1568
256,882,958,920,844,843,881,919,957,806,767
272,2430,2011,2049,2391,2930,2431,2469,2126,2164,2048
290,1411,1450,1449,1373,1451,1489,1527,1565,1603,1641
291,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
294,1257,991,1219,1181,1143,1105,1067,1029,953,915
320,1056,758,1094,1132,1170,2932,1208,1246,1284,1322
336,1354,1008,1046,1316,970,1278,1392,1430,1468,1506
337,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
338,2112,2037,2074,2075,1999,1998,1961,1923,1885,1847
341,1257,927,1219,965,1181,1143,1105,1067,1029,991
345,733,925,887,849,811,773,771,809,772,734
347,1165,1166,2977,1128,1090,1052,1014,976,1127,1089
349,296,295,332,293,330,329,291,3009,297,290
352,1129,1396,1434,1358,1091,1053,1015,977,1472,1510
389,148,186,146,145,182,143,180,103,102,63
423,337,380,341,379,416,415,342,453,492,490
426,741,743,780,781,819,742,818,856,894,932
428,85,87,124,84,122,120,157,158,194,88
433,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
449,1003,1311,1273,965,927,1041,1349,1387,1425,1463
451,1066,1029,1067,1105,1143,1181,1219,1257,1104,1142
468,1257,927,1219,965,1181,1143,1105,1067,1029,991
479,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
489,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
490,467,503,502,468,504,463,500,466,465,464
491,758,1064,1102,1140,1178,1216,1254,1026,988,950
499,1564,1565,1602,1603,1641,1679,1717,1755,1526,3005
503,541,579,540,580,543,581,582,545,546,509
506,1368,1399,1406,1330,1292,1444,3038,1482,1520,1361
507,1411,1450,1449,1373,1451,1489,1527,1565,1603,1641
512,776,805,738,767,814,813,851,804,737,775
514,1199,1200,1238,1161,1276,1237,1275,1314,1352,1390
517,609,887,610,849,811,571,925,773,572,535
560,263,339,376,375,412,411,373,372,371,408
585,541,579,540,580,543,581,582,545,546,509
595,1038,1037,1076,1114,1152,1075,1113,1000,1151,1189
613,2917,2919,2916,2911,2909,2907,2867,2904,2901,2900
615,453,489,415,416,379,341,380,342,492,451
