,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
14,2756,2760,2755,2792,2759,2753,2758,2752,2751,2750
37,414,493,531,532,569,3016,646,684,452,570
39,874,1402,1440,1478,1516,1554,912,950,836,1364
64,2814,2816,2777,2776,2775,2738,2699,2700,3018,2661
78,1032,1037,1070,1108,1146,1075,1113,1147,1185,1223
89,239,125,162,123,240,241,238,121,159,197
92,185,148,2957,149,111,147,108,144,106,105
99,2330,998,2331,960,2332,922,2368,1036,1074,1112
101,2649,2648,2687,2686,2647,2646,2684,2644,2605,2643
107,94,164,3012,57,163,161,165,166,160,198
116,1380,1183,2949,1342,1304,1266,1418,1456,1494,1532
126,406,442,405,444,3017,445,483,446,403,440
129,1071,1110,1109,1033,995,1148,1186,1224,1262,1300
134,2658,873,911,835,949,987,1025,1063,1101,1139
138,2433,2471,2510,2511,2512,2475,2476,2439,2477,2478
139,2315,2658,2316,2353,2696,2695,2733,2808,2769,2969
144,973,974,936,1011,935,897,1012,898,860,1050
163,1706,1519,1557,1481,1443,1668,1405,1367,1329,1291
165,1558,1668,1706,1744,1782,1820,1858,1896,1520,1482
176,2601,2598,2560,2559,2640,2561,2600,2641,2603,2642
177,978,901,939,940,1016,1054,1092,1130,1168,1167
194,1282,1283,1321,1320,1244,2994,1245,1207,1206,1319
196,1113,1151,1075,1189,1227,2992,1265,1303,1341,1379
199,2630,2589,2551,2590,2591,2592,2593,2594,2629,2628
206,647,649,648,3026,3023,688,686,687,689,690
208,414,417,456,454,455,418,452,490,453,415
215,1013,1009,1051,1047,971,933,895,975,937,899
223,1123,1160,1198,1085,1236,1274,1122,1312,1350,1388
240,378,379,341,380,416,415,342,2935,377,453
242,429,427,428,426,425,424,385,384,2978,345
245,2193,754,2155,2192,2154,2153,2152,2191,2230,2231
252,874,1215,1177,912,950,836,3014,1139,1101,1063
262,2949,1074,1342,1380,1304,1266,1418,1456,1494,1532
270,1028,1030,992,954,990,952,914,1068,1106,1144
274,790,619,2965,618,617,791,654,615,577,657
279,883,847,921,959,997,1035,1073,2936,3007,1149
285,949,987,1025,1063,1101,1139,3014,1177,1215,911
302,2257,2299,2295,2294,2336,2297,2258,2220,2221,2222
305,2619,2659,2657,2732,2770,2731,2768,2767,2728,2727
326,2209,1222,1184,1145,1107,1260,1298,1336,1374,1412
348,1062,988,1100,1138,1024,986,948,910,1176,1214
373,969,1007,931,1045,1083,1121,1159,1197,1235,1273
383,1042,1115,1153,1191,1080,1118,1156,1194,1232,1270
384,1250,1213,1212,1175,1251,1289,1327,1365,1403,1441
411,768,1037,730,1075,1113,1151,1189,1227,2992,1265
414,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
418,1840,1887,1849,1802,1811,1773,1764,1726,1688,1878
455,364,365,404,2995,363,405,444,3017,442,445
462,61,19,54,52,51,60,100,64,104,67
494,1145,1146,1107,1108,1070,1032,1147,1185,1223,1261
496,562,561,560,521,520,482,481,524,523,487
515,2207,2244,2246,2247,2284,2322,2360,2398,2436,2285
542,991,1028,953,915,1029,1067,1105,1143,1181,1219
546,2064,2269,2026,2231,2230,2191,2153,2152,1989,1951
547,237,238,239,240,241,242,274,273,3010,235
555,1115,1152,1153,1191,1114,1076,1038,1000,962,924
571,28,32,35,74,37,26,66,24,22,18
