,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
6,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
7,19,796,54,52,51,759,834,872,910,948
21,1332,1335,1297,1259,2951,1221,1294,1256,1183,1373
31,2974,1325,1287,1249,1211,1363,1401,1439,1477,1515
62,688,647,648,3026,3023,649,686,687,689,690
71,26,66,24,22,28,32,35,74,37,18
75,1631,1629,1667,1591,1593,1705,1743,1781,1819,1857
77,2689,2690,2691,2692,2693,2655,2726,2725,2724,2964
80,2870,2751,2869,2750,2752,2753,2792,2755,2756,2715
94,1821,2182,1783,1745,1859,1897,1707,1669,1935,1973
104,1723,2928,1761,48,1799,1837,45,82,50,1875
105,69,28,32,35,29,74,27,25,62,37
111,2952,1745,1783,1821,1684,1646,1608,1570,1532,1494
121,2967,1315,1277,1353,1391,1242,1280,1318,1356,1394
124,1129,1147,1185,1223,1261,1299,2988,1337,1375,1413
125,1165,1166,2977,1128,1090,1052,1014,976,1127,1089
147,1472,1504,1510,1542,1580,1618,1656,1694,1548,1466
154,773,807,845,811,849,887,925,772,734,883
164,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
172,488,619,2965,618,617,654,615,577,657,620
189,965,966,927,1003,1041,928,1079,1117,1155,1193
190,2334,2335,2372,2333,2373,2374,2375,2413,2332,2331
226,2747,2663,2746,2708,2662,2707,2748,2711,2749,2788
229,1102,1026,1064,1140,1178,1216,1254,988,950,912
258,1015,1055,1093,977,1053,1091,1129,1017,1131,1169
283,401,476,439,478,479,441,477,515,516,517
286,1003,1311,1273,965,927,1041,1349,1387,1425,1463
292,1470,1775,1813,1432,1394,1508,1546,1584,1622,1660
296,1623,1625,1587,1663,1661,1699,1737,2945,1585,1547
301,1303,1266,1265,1304,1341,1342,2949,1380,1379,2992
303,927,965,1003,1041,1079,1117,1155,1193,1231,3035
309,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
343,1878,1879,1841,1916,1954,1992,1840,1802,1764,1726
346,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
364,334,335,333,370,331,368,367,366,328,327
365,19,1869,1907,1945,1906,1944,1868,1830,1982,2020
375,1950,1988,2026,2064,1989,1951,2997,1914,1913,2971
377,337,380,341,379,416,415,342,453,492,490
381,970,972,1010,934,1008,1046,896,1084,1122,1160
392,2487,2525,2524,2523,2485,2564,2527,2528,2529,2568
393,1129,1396,1434,1358,1091,1053,1015,977,1472,1510
403,766,767,2987,805,804,806,844,882,920,958
417,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
430,484,520,521,482,481,560,561,447,443,446
431,2619,2620,2657,2732,2770,2731,2768,2767,2728,2727
443,1257,1333,1219,1295,1181,1143,1105,1067,1029,991
447,451,489,526,525,563,600,599,636,674,635
453,2660,2619,2657,2732,2770,2731,2768,2767,2728,2727
458,1446,1559,1408,1597,1635,1673,1711,1749,1521,1787
463,1433,1434,1396,1471,1509,1358,1395,1357,1547,1585
466,951,953,989,915,1027,913,991,1029,1067,1105
472,2182,1954,1992,1916,1878,1840,1802,1764,1726,1688
475,2567,2605,2644,2606,2607,2608,2570,2604,2566,2565
501,1167,1129,1205,1091,1053,1015,977,1168,1130,1092
516,1989,2066,1951,2027,2065,2102,2063,2101,2138,2176
520,153,195,192,196,197,159,121,123,162,125
522,2443,2481,2442,2480,2441,2518,2519,2520,2521,2559
533,882,423,920,958,844,843,881,919,957,806
562,1880,1838,1876,1800,1762,1842,1724,1686,1918,1804
572,863,899,861,823,937,975,1013,1051,824,786
593,2609,2648,2571,2610,2611,2612,2574,2573,2572,2533
620,1091,1127,1053,1015,977,1129,1089,1165,1203,1204
680,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
686,889,851,813,814,776,738,737,775,700,699
694,558,617,557,596,559,618,2965,619,654,615
698,895,745,933,971,1009,1047,707,744,705,667
705,1494,1534,1456,1532,1418,1380,2949,1342,1304,1266
737,2161,2950,2162,2123,2200,2163,2125,2085,2084,2046
744,1309,1326,1288,1347,1385,1423,1461,1499,1537,1575
756,2681,2639,2678,2680,2676,2679,2716,2717,2675,2674
758,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
767,1356,1009,1318,1280,1047,971,933,2967,1242,895
791,1839,2204,1801,1763,1725,1877,1915,1687,1649,2242
795,1807,1841,1845,1879,1769,1731,1693,1655,1617,1883
798,180,181,143,182,103,102,183,184,63,137
803,958,887,920,849,811,925,773,882,844,843
810,1602,1640,1678,1564,1716,1754,1526,1792,1488,1830
812,330,331,370,333,368,293,332,295,367,366
816,1987,1986,1948,1949,1910,1872,2025,2024,2023,2062
823,1821,1440,1783,1745,1402,1478,1516,1554,1859,1897
824,153,195,192,196,197,159,121,123,162,125
826,2952,1745,1783,1821,1684,1646,1608,1570,1532,1494
829,2435,1902,1864,1826,1788,1750,1712,1674,1636,1598
832,817,820,779,858,896,934,972,1010,1048,1086
833,26,66,24,22,28,32,35,74,37,18
843,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
848,878,879,841,839,801,840,802,765,916,917
855,1840,2017,1802,1979,1980,1764,1726,1688,1878,1916
861,2561,2480,2598,2560,2559,2600,2601,2640,2641,2603
867,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
880,11,14,6,4,2,3,42,5,8,7
905,921,923,961,883,959,997,1035,1073,2936,3007
919,426,387,349,425,424,385,384,2978,345,306
923,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
934,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
937,1017,981,1055,1093,1131,1169,943,905,867,1206
959,609,652,610,571,653,572,691,729,651,535
963,2571,2615,2610,2609,2611,2612,2574,2573,2572,2533
974,817,820,779,858,896,934,972,1010,1048,1086
999,1729,1691,1653,1615,1577,1539,1501,1463,1425,1387
1004,1979,1980,2017,2056,2055,2093,2130,2091,1942,1904
1020,1480,1482,1442,1404,1366,1518,1556,1520,1328,1444
1037,2685,2722,2964,2683,2721,2720,2724,2725,2681,2680
1044,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
1048,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
1059,334,335,333,370,331,368,367,366,328,327
1065,934,1205,1167,972,1010,896,1048,1086,1124,1162
1072,1162,1161,1199,1124,1237,1275,1200,1238,1276,1314
1078,2657,2658,2732,2770,2731,2768,2767,2728,2727,2764
1082,2381,2458,2380,2496,2421,2460,2457,2419,2456,2455
1112,3001,2314,2239,2201,2277,2200,2161,2123,2085,2084
1123,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
1143,929,930,968,891,1006,1044,1082,1120,1158,1196
1150,1395,931,1357,1433,1471,1509,1547,1585,1623,1661
1152,2652,2735,2651,2688,2984,2734,2772,2810,2811,2999
1161,1483,1821,1783,1745,1859,1897,1707,1669,1445,1407
1176,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
1195,1162,1161,1199,1124,1237,1275,1200,1238,1276,1314
1200,2625,2665,2666,2667,2706,2624,2664,2586,2942,2548
1203,1354,1008,1046,1316,970,1278,1392,1430,1468,1506
1209,1472,1433,1510,1471,1509,1395,1357,1548,1547,1585
1213,755,756,717,757,794,718,680,754,793,831
1231,413,414,452,490,453,415,416,379,341,380
1232,413,414,452,490,453,415,416,379,341,380
1236,401,476,439,478,479,441,477,515,516,517
1244,1838,1840,1876,1802,1800,1762,1764,1726,1688,1724
1256,472,473,474,437,475,514,552,553,554,592
1260,1129,1165,1091,1053,1015,977,1127,1089,1203,1204
1293,1167,861,1205,899,823,937,975,1013,1051,824
1295,1325,1327,1365,1287,1289,1403,1441,1479,1517,1249
