,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
15,105,138,106,144,108,99,65,142,147,111
33,2488,291,2526,2449,2954,2486,2447,2484,2445,2483
54,405,437,474,473,472,475,444,3017,514,552
59,1880,1838,1876,1800,1762,1842,1724,1686,1918,1804
65,464,465,466,426,425,424,385,384,2978,345
82,2337,2413,2375,2374,2373,2335,2334,2372,2333,2338
98,2556,2557,2595,2555,2596,2597,2939,2599,2558,2594
103,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
127,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
133,1356,1009,1318,1280,1047,971,933,2967,1242,895
149,1470,1775,1813,1432,1394,1508,1546,1584,1622,1660
156,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
181,37,114,76,74,35,32,28,26,66,24
210,2625,2665,2666,2667,2706,2624,2664,2586,2942,2548
214,413,414,452,490,453,415,416,379,341,380
218,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
219,982,1017,1020,1055,1093,944,906,1131,1169,1058
225,2182,1954,1992,1916,1878,1840,1802,1764,1726,1688
227,929,930,968,891,1006,1044,1082,1120,1158,1196
236,648,840,647,3026,878,839,801,802,765,611
254,1124,1123,1085,1162,1200,1238,1276,1314,1352,1390
257,1074,2253,1112,1111,2972,1036,2290,2251,998,960
260,1564,1565,1602,1603,1641,1679,1717,1755,1526,3005
267,641,773,679,716,811,849,887,925,677,603
269,825,2685,2722,2964,2683,2721,2720,787,2724,2725
271,2768,2731,2767,2770,2732,2657,2728,2727,2764,2765
276,2130,2169,2091,2208,2209,2093,2055,2056,2017,1979
277,295,332,293,330,329,291,296,3009,297,290
278,675,711,637,712,638,601,602,564,527,749
295,2257,2295,2294,2258,2220,2221,2222,2184,2146,2219
314,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
322,115,155,154,156,117,118,119,2966,83,116
325,1129,1396,1434,1358,1091,1053,1015,977,1472,1510
333,1009,1011,1047,971,933,895,973,935,897,859
334,1092,2570,2608,1054,1130,1016,1168,978,940,2607
339,641,773,679,716,811,849,887,925,677,603
354,2488,962,2526,924,886,848,1000,1038,1076,1114
