1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,EVE1,TPH1B,FOXD3
2,CST3,WNT11,SZL,ISM1,OTX1A,SNAI1A,FOXI1,LFT2,OSR1,FOXD5
3,HES6,SP5L,NOTO,GSC,CHD,TBX16,TA,GATA2A,BMP7A,GATA5
4,BMP4,MIXL1,VENT,BMP2B,OTX1B,FOXB1A,CDX4,FGF8A,AXIN2,LFT1
12,43,35,42,36,53,34,37,41,44,59
26,36,21,28,35,30,29,43,37,22,20
45,27,19,20,25,26,33,41,11,17,18
51,30,28,7,15,23,22,8,16,24,31
67,20,28,11,4,12,1,2,9,10,19
73,36,44,52,59,28,35,43,51,3,19
77,17,18,28,1,2,9,10,19,20,25
85,43,35,63,54,53,42,59,52,60,36
101,63,56,64,55,54,42,50,58,62,43
103,17,18,1,2,9,10,19,25,26,3
105,17,18,28,41,1,2,9,10,19,20
107,35,43,36,49,57,42,37,30,41,28
132,27,19,20,25,26,41,43,3,5,13
136,28,35,43,3,30,19,20,27,36,4
141,43,41,35,42,59,27,36,44,51,53
166,3,1,2,9,10,4,12,11,17,18
168,11,3,1,2,9,10,19,4,12,33
170,5,13,21,6,14,29,28,22,4,12
180,21,29,7,15,23,5,13,22,17,18
182,27,28,35,41,43,21,19,20,25,26
197,37,28,29,20,36,44,21,45,41,35
211,49,57,51,50,58,42,59,34,35,41
214,21,28,3,29,19,20,27,36,4,12
219,30,35,21,40,22,8,16,24,32,36
235,17,18,3,1,2,9,10,19,20,25
239,4,12,1,2,9,10,3,17,18,11
245,60,53,52,45,54,61,42,59,44,50
247,28,6,14,30,1,2,9,10,20,36
257,19,11,17,18,28,3,29,1,2,9
260,21,22,7,15,23,29,28,30,8,16
268,36,29,37,28,35,21,45,19,20,27
270,35,43,36,42,28,34,19,20,27,44
279,20,28,19,27,36,4,12,11,17,18
315,21,22,36,29,5,13,37,6,14,30
322,59,51,43,35,42,52,60,50,58,53
331,43,11,34,35,49,57,41,3,1,2
338,21,28,3,29,19,20,27,4,12,11
350,7,15,23,8,16,24,31,32,22,30
403,39,31,38,47,7,15,23,40,43,30
405,19,20,27,11,17,18,28,3,1,2
411,43,35,42,59,50,58,51,53,61,49
415,19,11,17,18,28,3,29,1,2,9
421,21,30,29,22,6,14,17,18,28,34
427,7,15,23,41,8,16,21,24,31,32
447,8,16,24,32,7,15,23,31,22,40
465,52,60,45,44,53,37,59,51,36,61
475,21,30,27,29,22,28,35,6,14,7
480,19,3,17,18,4,12,11,1,2,9
481,42,38,43,41,34,35,46,59,50,58
486,17,18,1,2,9,10,19,20,25,26
531,5,13,6,14,4,12,21,20,22,3
543,7,15,23,8,16,24,31,32,22,30
551,21,29,28,20,5,13,30,22,4,12
554,5,13,36,44,21,45,28,29,52,37
561,3,11,4,12,1,2,9,10,19,17
572,4,12,20,36,3,28,11,1,2,9
584,4,12,19,20,36,3,17,18,28,11
593,20,28,4,12,21,19,27,3,29,5
601,59,50,58,51,49,57,60,52,53,61
612,31,7,15,23,39,8,16,24,32,22
614,21,28,29,22,7,15,23,30,6,14
615,7,15,23,8,16,24,31,32,22,39
623,28,21,20,30,29,22,4,12,6,14
628,7,15,23,30,6,14,8,16,24,31
640,1,2,9,10,17,18,11,3,19,25
641,36,43,34,35,54,37,42,59,52,60
650,28,21,19,20,27,36,3,29,30,7
656,36,37,28,35,29,19,20,27,21,11
664,43,56,64,42,48,20,27,36,8,16
675,21,7,15,23,22,8,16,24,31,32
684,31,7,15,23,22,8,16,21,24,32
691,8,16,24,32,7,15,23,43,42,6
695,27,43,35,41,3,42,19,20,25,26
709,3,11,5,13,4,12,1,2,9,10
716,19,3,17,18,28,11,4,12,21,1
722,37,5,13,20,36,44,21,45,28,29
733,8,16,24,31,32,7,15,23,39,40
748,21,36,22,29,37,5,13,28,6,14
769,7,15,23,30,8,16,24,31,32,22
772,30,21,22,19,20,27,36,3,29,37
779,28,35,43,19,20,27,36,11,42,3
829,7,15,23,39,40,17,18,8,16,24
832,21,31,28,29,7,15,23,39,30,19
842,60,59,45,53,52,51,44,43,54,46
