1,NOG1,VED,SOX3,BAMBIA,APLNRB,FOXD3,VOX,ADMP,EVE1,CST3
2,SZL,WNT11,TPH1B,OTX1A,SNAI1A,OSR1,FOXI1,ISM1,FOXD5,HES6
3,SP5L,NOTO,LFT2,GSC,CHD,TBX16,GATA2A,GATA5,TA,BMP4
4,BMP7A,VENT,MIXL1,FOXB1A,OTX1B,BMP2B,CDX4,AXIN2,ID3,FGF8A
zf1_p6_S44_umi,40,8,16,24,32,48,7,15,23,39
zf2_dis_S1217_umi,31,7,15,23,6,14,8,16,24,32
zf1_p7_S59_umi,28,36,29,30,20,35,43,21,22,44
zf1_p8_S96_umi,7,15,23,30,8,16,24,31,32,22
zf1_p6_S91_umi,17,18,28,36,41,42,30,3,1,2
zf2_dis_S258_umi,7,15,23,8,16,24,31,32,22,39
zf2_dis_S1273_umi,63,55,56,64,62,54,53,61,50,58
zf1_p6_S50_umi,21,31,29,59,7,15,23,39,52,28
zf2_dis_S212_umi,34,17,18,33,42,1,2,9,10,19
zf2_dis_S1323_umi,17,18,33,1,2,9,10,19,20,25
zf1_p5_S7_umi,59,52,36,44,51,43,35,60,42,45
zf1_p8_S51_umi,19,11,17,18,28,36,3,1,2,9
zf1_p8_S21_umi,28,36,3,19,20,27,35,4,12,21
zf1_p8_S85_umi,7,15,23,22,8,16,24,31,32,21
zf1_p8_S14_umi,7,15,23,6,14,8,16,24,31,32
zf1_p6_S47_umi,7,15,23,28,36,4,12,21,6,14
zf2_dis_S1214_umi,30,22,38,19,29,14,37,46,17,18
zf2_dis_S1169_umi,34,35,43,42,59,50,58,33,36,51
zf2_dis_S338_umi,36,28,37,29,34,35,20,21,42,30
zf1_p8_S52_umi,8,16,24,32,7,15,23,40,31,30
zf1_p5_S87_umi,17,18,28,36,29,34,35,1,2,9
zf2_dis_S1301_umi,19,17,18,28,11,1,2,9,10,20
zf2_dis_S1309_umi,3,1,2,9,10,4,12,11,17,18
zf2_dis_S1263_umi,41,29,17,18,28,36,30,21,1,2
zf1_p6_S83_umi,27,41,21,28,3,29,43,19,20,25
zf1_p5_S30_umi,36,35,28,21,30,43,34,37,19,20
zf1_p7_S29_umi,33,36,41,7,15,23,22,34,35,42
zf1_p5_S29_umi,59,51,43,35,42,50,58,52,49,57
zf1_p8_S92_umi,31,7,15,23,33,19,25,26,27,22
zf1_p8_S57_umi,6,14,4,12,3,41,22,28,43,5
zf1_p5_S42_umi,8,16,24,32,7,15,23,40,31,22
zf1_p8_S74_umi,19,3,17,18,11,4,12,1,2,9
zf1_p8_S39_umi,28,36,21,30,7,15,23,22,20,29
zf2_dis_S1314_umi,28,20,17,18,36,29,4,12,21,30
zf1_p5_S82_umi,36,35,28,19,20,27,34,11,37,43
zf1_p5_S27_umi,17,18,28,41,1,2,9,10,19,20
