1,VED,NOG1,SOX3,APLNRB,BAMBIA,ISM1,VOX,ADMP,EVE1,CST3
2,WNT11,FOXI1,SZL,SNAI1A,FOXD3,LFT2,TPH1B,OTX1A,OSR1,SP5L
3,FOXD5,HES6,NOTO,CHD,GSC,TBX16,GATA2A,TA,BMP4,BMP7A
4,GATA5,MIXL1,VENT,BMP2B,OTX1B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
zf2_dis_S1238_umi,19,20,25,26,27,4,12,11,33,17
zf1_p6_S56_umi,3,11,4,12,1,2,9,10,19,17
zf2_dis_S1281_umi,17,18,28,36,41,1,2,9,10,19
zf1_p8_S87_umi,27,35,30,28,36,33,29,41,22,38
zf1_p6_S77_umi,28,29,30,19,20,27,7,15,23,35
zf2_dis_S230_umi,28,36,42,20,41,34,35,43,17,18
zf1_p8_S26_umi,7,15,23,8,16,24,31,32,22,5
zf2_dis_S1342_umi,41,42,28,36,20,25,26,27,34,35
zf2_dis_S1304_umi,8,16,24,32,7,15,23,31,22,40
zf1_p7_S20_umi,28,36,29,19,20,27,30,35,43,7
zf1_p6_S11_umi,30,22,21,36,29,6,14,37,38,5
zf1_p8_S15_umi,28,36,4,12,21,35,20,27,3,29
zf2_dis_S1205_umi,59,35,51,43,54,34,50,58,42,38
zf2_dis_S1316_umi,21,29,28,36,44,31,30,45,7,15
zf1_p5_S52_umi,34,35,25,26,27,41,42,33,17,18
zf2_dis_S1235_umi,21,28,5,13,22,3,29,19,20,27
zf1_p8_S54_umi,3,19,4,12,11,17,18,28,36,1
zf2_dis_S1368_umi,59,53,51,43,35,60,42,50,58,52
zf2_dis_S1340_umi,8,16,24,32,7,15,23,31,22,40
zf2_dis_S1156_umi,22,6,14,21,30,7,15,23,5,13
zf1_p6_S34_umi,31,21,7,15,23,22,29,5,13,28
zf2_dis_S330_umi,60,59,51,52,44,43,45,53,61,35
zf2_dis_S1324_umi,43,35,49,57,30,7,15,23,41,28
zf1_p6_S79_umi,43,42,36,41,4,12,34,35,50,58
zf2_dis_S244_umi,31,7,15,23,39,8,16,24,32,22
zf2_dis_S1335_umi,52,42,59,53,34,35,60,43,50,58
zf1_p8_S64_umi,8,16,24,32,30,21,29,28,36,22
zf2_dis_S1230_umi,35,43,36,21,51,37,50,58,34,60
zf1_p8_S41_umi,4,12,3,11,1,2,9,10,19,20
zf2_dis_S314_umi,28,29,20,21,17,18,36,1,2,9
zf2_dis_S1282_umi,17,18,1,2,9,10,19,20,25,26
zf2_dis_S1364_umi,28,19,20,27,11,17,18,36,3,29
zf2_dis_S1286_umi,5,13,3,4,12,21,11,6,14,28
zf1_p5_S40_umi,41,34,35,42,33,31,49,57,43,7
zf1_p7_S11_umi,42,34,35,43,50,58,37,36,53,61
zf1_p8_S86_umi,59,51,60,53,61,52,50,58,43,54
zf1_p5_S57_umi,54,42,59,50,58,51,43,49,57,53
zf2_dis_S210_umi,42,34,35,43,45,36,44,37,41,38
zf2_dis_S1277_umi,17,18,28,7,15,21,23,22,1,2
zf2_dis_S1203_umi,53,61,60,54,59,52,51,62,44,45
zf1_p7_S5_umi,30,21,7,15,23,22,29,28,8,16
zf2_dis_S1278_umi,17,18,1,2,9,10,19,25,26,11
zf1_p7_S80_umi,43,41,35,27,42,28,36,30,7,15
zf1_p6_S60_umi,49,57,30,43,34,35,22,41,42,16
zf1_p7_S12_umi,34,35,19,30,3,33,22,17,18,28
zf2_dis_S1181_umi,7,15,23,8,16,24,31,32,22,17
zf2_dis_S1308_umi,59,51,43,27,35,49,57,30,41,28
zf1_p8_S34_umi,43,53,35,42,59,50,58,52,51,49
zf2_dis_S1399_umi,41,35,43,28,36,29,33,21,19,20
zf1_p8_S83_umi,22,28,36,44,21,6,14,30,43,5
zf2_dis_S1313_umi,35,43,51,28,36,44,29,52,19,20
zf1_p5_S76_umi,42,43,34,35,41,36,37,29,1,2
zf3_dis_S1596_umi,6,14,5,13,7,15,23,22,21,41
zf3_dis_S1553_umi,52,53,59,61,44,45,54,51,49,57
zf3_dis_S1696_umi,25,26,27,30,21,22,17,18,28,6
zf3_dis_S1500_umi,8,16,24,32,21,3,29,7,15,23
zf3_dis_S1727_umi,7,15,23,30,8,16,24,31,32,22
zf3_dis_S1707_umi,22,6,14,30,37,7,15,23,39,40
zf3_dis_S1745_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1513_umi,17,18,3,1,2,9,10,19,20,25
zf3_dis_S1535_umi,36,34,35,42,43,17,18,28,44,37
