1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,BMP7A,CHD,EVE1,FOXI1,HER1
2,HES6,NOTO,OTX1B,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
zf2_dis_S1179_umi,7,8,15,16,22,23,24,30,31,32
zf1_p5_S61_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1391_umi,5,13,27,3,21,11,29,1,2,9
zf1_p8_S91_umi,42,17,18,25,26,27,21,41,34,35
zf1_p7_S9_umi,21,20,28,4,5,12,13,17,18,25
zf1_p7_S57_umi,5,13,63,64,21,62,29,37,53,20
zf1_p5_S44_umi,3,11,1,2,9,10,19,17,18,25
zf2_dis_S220_umi,34,33,42,17,18,25,26,41,35,50
zf1_p7_S60_umi,42,41,50,58,17,18,25,26,27,63
zf2_dis_S1260_umi,33,34,41,17,18,25,26,1,2,9
zf1_p8_S23_umi,7,8,15,16,22,23,24,30,31,32
zf1_p7_S69_umi,21,29,5,13,20,28,27,37,4,12
zf2_dis_S1292_umi,33,34,41,17,18,25,26,1,2,9
zf1_p8_S3_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1154_umi,35,43,42,34,36,41,51,33,60,37
zf1_p5_S35_umi,27,3,21,19,20,28,4,5,12,13
zf1_p6_S18_umi,42,41,34,35,63,64,50,58,33,43
zf2_dis_S1247_umi,7,8,15,16,22,23,24,30,31,32
zf1_p5_S79_umi,27,39,40,41,35,7,8,15,16,22
zf2_dis_S218_umi,1,2,9,10,17,18,25,26,3,33
zf1_p5_S43_umi,20,28,36,27,44,38,54,55,56,35
zf2_dis_S288_umi,7,15,16,22,23,24,30,31,32,38
zf2_dis_S1321_umi,43,60,44,42,59,35,52,41,51,36
zf1_p7_S84_umi,4,12,3,11,1,2,9,10,19,20
zf2_dis_S1245_umi,27,19,20,28,3,21,17,18,25,26
zf1_p7_S4_umi,7,8,15,16,22,23,24,30,31,32
zf1_p6_S10_umi,42,41,17,18,25,26,27,21,50,58
zf1_p7_S64_umi,21,29,20,28,5,13,27,7,8,15
zf1_p7_S38_umi,42,36,34,35,41,37,33,43,44,50
zf2_dis_S1172_umi,60,59,35,51,43,50,58,27,42,49
zf1_p8_S12_umi,27,35,43,7,15,16,22,23,24,30
zf1_p5_S26_umi,35,43,60,37,53,42,59,36,45,41
zf1_p7_S72_umi,19,17,18,25,26,27,3,11,33,4
zf1_p6_S1_umi,38,39,40,35,37,46,43,7,8,15
zf1_p8_S75_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1177_umi,27,19,20,28,17,18,25,26,11,29
zf1_p7_S7_umi,36,44,35,37,53,43,4,12,13,20
zf1_p5_S70_umi,21,29,37,7,8,15,16,22,23,24
zf1_p6_S41_umi,42,34,35,41,36,33,43,60,50,58
zf1_p6_S42_umi,42,34,35,41,36,33,43,60,50,58
zf2_dis_S1196_umi,27,35,19,20,28,36,43,3,21,17
zf1_p5_S5_umi,20,28,17,18,25,26,27,7,8,15
zf2_dis_S1253_umi,17,18,25,26,1,2,9,10,19,20
zf1_p7_S79_umi,33,17,18,25,26,1,2,9,10,19
zf2_dis_S300_umi,19,17,18,25,26,27,11,1,2,9
zf2_dis_S1174_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1298_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1212_umi,34,33,17,18,25,26,42,41,35,1
zf1_p7_S14_umi,27,39,40,35,3,21,19,20,28,36
zf1_p5_S47_umi,19,17,18,25,26,27,3,11,33,4
zf1_p7_S86_umi,7,8,15,16,22,23,24,30,31,32
zf1_p5_S16_umi,27,47,48,41,38,39,40,54,55,56
zf1_p7_S43_umi,21,29,37,7,8,15,16,22,23,24
zf2_dis_S1270_umi,33,41,34,1,2,9,10,49,57,17
zf2_dis_S1386_umi,33,41,34,35,42,17,18,25,26,27
zf1_p6_S24_umi,37,36,45,44,13,35,52,21,43,60
zf2_dis_S1317_umi,35,36,43,60,27,44,11,42,59,34
zf1_p8_S82_umi,11,1,2,9,10,19,17,18,25,26
zf1_p8_S56_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1559_umi,5,13,6,14,21,7,8,15,16,22
zf3_dis_S1461_umi,27,35,29,37,43,19,20,28,36,45
zf3_dis_S1571_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1673_umi,4,5,12,13,3,21,11,29,37,1
zf3_dis_S1507_umi,20,28,36,27,44,35,52,29,37,43
zf3_dis_S1642_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1699_umi,35,41,33,43,29,37,27,38,39,40
zf3_dis_S1752_umi,21,7,8,15,16,22,23,24,30,31
zf3_dis_S1458_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1601_umi,5,13,27,3,21,11,29,6,14,4
zf3_dis_S1462_umi,19,20,28,17,18,25,26,27,11,4
zf3_dis_S1722_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1464_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S361_umi,17,18,25,26,33,21,41,29,7,8
zf3_dis_S1583_umi,53,54,55,56,61,63,64,35,52,62
zf3_dis_S362_umi,41,33,17,18,25,26,27,3,21,42
zf3_dis_S1758_umi,52,53,63,64,43,60,45,42,59,62
zf3_dis_S1576_umi,4,12,3,11,5,13,1,2,9,10
zf3_dis_S1520_umi,34,35,52,33,43,60,42,59,4,5
zf3_dis_S1760_umi,20,28,4,12,27,3,21,19,36,35
