1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,CHD,EVE1,FGF8A,FOXD5,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,TBX16,VED,VENT,VOX,WNT11
zf1_p7_S31_umi,6,7,8,14,15,16,22,23,24,30
zf1_p5_S66_umi,21,5,13,29,3,27,28,4,12,11
zf2_dis_S1213_umi,42,34,35,37,43,36,45,41,50,58
zf2_dis_S1395_umi,27,35,11,19,20,36,33,43,49,57
zf2_dis_S1163_umi,21,29,5,13,6,7,8,14,15,16
zf1_p8_S25_umi,37,35,29,36,45,53,43,49,57,21
zf1_p7_S63_umi,3,21,11,19,29,4,5,12,13,1
zf1_p6_S57_umi,41,21,6,7,8,14,15,16,22,23
zf2_dis_S1381_umi,29,21,37,27,28,35,5,13,60,11
zf1_p5_S4_umi,35,43,51,59,36,50,58,42,52,60
zf1_p7_S16_umi,11,19,29,1,2,9,10,17,18,25
zf1_p7_S39_umi,38,39,40,41,46,6,7,8,14,15
zf1_p8_S70_umi,27,5,11,13,19,20,29,1,2,9
zf1_p7_S21_umi,21,29,5,13,28,6,7,8,14,15
zf1_p6_S96_umi,3,21,27,28,35,4,5,12,13,11
zf2_dis_S1188_umi,41,27,28,35,11,19,20,29,36,33
zf2_dis_S1176_umi,35,36,43,51,59,34,44,42,52,60
zf1_p7_S49_umi,21,29,28,6,7,8,14,15,16,22
zf2_dis_S1289_umi,1,2,9,10,17,18,25,26,33,41
zf2_dis_S1328_umi,1,2,9,10,17,18,25,26,34,11
zf1_p7_S13_umi,4,5,12,13,3,21,11,19,20,29
zf2_dis_S1280_umi,28,21,4,5,12,13,20,29,36,52
zf1_p8_S18_umi,29,27,28,35,21,37,43,41,11,19
zf2_dis_S237_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S1325_umi,33,41,1,2,9,10,17,18,25,26
zf1_p8_S7_umi,21,5,13,29,27,28,3,6,7,8
zf1_p6_S46_umi,21,29,5,13,28,37,20,36,45,4
zf1_p7_S94_umi,20,27,28,4,5,12,13,3,21,11
zf1_p5_S37_umi,21,41,29,6,7,8,14,15,16,22
zf1_p7_S37_umi,35,43,37,42,29,36,45,27,28,34
zf1_p6_S80_umi,50,58,42,49,57,34,35,37,43,54
zf1_p7_S75_umi,6,7,8,14,15,16,22,23,24,30
zf1_p8_S60_umi,21,37,29,36,45,53,28,34,35,44
zf2_dis_S276_umi,41,33,3,21,1,2,9,10,17,18
zf2_dis_S1290_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S1272_umi,1,2,9,10,17,18,25,26,27,28
zf1_p6_S33_umi,37,49,57,34,35,41,42,29,36,45
zf1_p8_S31_umi,35,37,43,29,36,45,41,42,27,28
zf1_p7_S22_umi,3,21,27,28,35,4,5,12,13,11
zf1_p6_S67_umi,60,51,59,50,58,53,49,57,27,35
zf2_dis_S1394_umi,33,1,2,9,10,17,18,25,26,34
zf1_p6_S86_umi,21,41,29,6,7,8,14,15,16,22
zf2_dis_S315_umi,54,55,56,63,64,62,38,53,46,61
zf2_dis_S1332_umi,11,19,3,1,2,9,10,17,18,25
zf1_p5_S41_umi,27,35,43,42,60,5,13,3,21,37
zf1_p8_S13_umi,29,21,1,2,9,10,17,18,25,26
zf2_dis_S1339_umi,28,41,20,29,36,53,33,54,55,56
zf2_dis_S1178_umi,4,12,1,2,9,10,17,18,25,26
zf1_p8_S76_umi,21,29,5,13,28,6,7,8,14,15
zf1_p8_S42_umi,35,37,43,42,36,45,34,44,41,51
zf3_dis_S1733_umi,27,5,13,6,7,8,14,15,16,22
zf3_dis_S1643_umi,20,4,5,12,13,27,28,3,21,11
zf3_dis_S366_umi,29,38,39,40,47,48,54,55,56,21
zf3_dis_S1782_umi,21,29,5,13,28,37,20,36,45,4
zf3_dis_S1589_umi,39,40,35,41,43,21,37,6,7,8
zf3_dis_S1775_umi,1,2,9,10,17,18,25,26,27,33
