1,VED,SOX3,NOG1,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
2,WNT11,SZL,OTX1A,SNAI1A,FOXD3,FOXI1,ISM1,OSR1,LFT2,FOXD5
3,HES6,NOTO,SP5L,CHD,TBX16,GSC,GATA2A,TA,BMP4,BMP7A
4,GATA5,MIXL1,VENT,BMP2B,OTX1B,FOXB1A,CDX4,FGF8A,AXIN2,LFT1
3,27,43,41,35,42,33,37,19,20,25
4,8,16,24,32,7,15,23,31,22,40
16,36,17,18,34,35,1,2,9,10,19
23,36,28,37,29,20,44,21,45,5,13
34,1,2,9,10,25,26,27,11,17,18
38,7,15,23,43,22,42,30,8,16,24
44,28,35,29,19,20,27,36,21,33,11
56,11,1,2,9,10,19,25,26,27,3
64,3,11,4,12,1,2,9,10,19,17
82,28,21,30,3,29,19,20,27,36,22
108,21,45,43,19,20,27,36,44,3,29
111,43,35,42,37,52,36,44,21,45,28
114,3,11,1,2,9,10,19,25,26,27
126,41,25,26,27,33,42,29,17,18,28
131,43,35,42,59,50,58,51,49,57,34
138,42,36,43,17,18,34,35,41,33,1
163,33,17,18,34,1,2,9,10,19,25
164,7,15,23,8,16,24,31,32,22,39
165,36,44,28,35,43,3,19,20,27,12
174,17,18,4,12,33,1,2,9,10,19
201,17,18,1,2,9,10,19,25,26,11
204,3,6,14,11,5,13,4,12,21,1
205,5,13,4,12,3,11,21,1,2,9
213,17,18,28,1,2,9,10,19,20,25
222,31,45,59,7,15,23,39,22,38,47
232,36,44,45,28,37,38,29,20,52,21
252,7,15,23,6,14,8,16,24,31,32
265,37,21,45,36,44,29,28,52,43,20
275,35,43,49,57,41,42,59,34,53,50
282,27,28,19,20,25,26,11,17,18,35
286,33,19,25,26,27,3,17,18,11,4
288,1,2,9,10,11,17,18,28,3,19
293,29,21,5,13,6,14,11,28,30,3
294,37,42,52,60,53,45,54,50,58,34
297,21,29,5,13,17,18,28,22,1,2
329,41,30,42,21,22,25,26,27,29,49
341,8,16,24,31,32,7,15,23,22,28
342,36,42,17,18,28,34,35,43,1,2
345,27,41,28,35,43,29,19,20,25,26
356,7,15,23,8,16,24,31,32,22,39
373,19,3,17,18,4,12,11,1,2,9
384,36,28,21,20,44,29,37,17,18,34
389,8,16,24,32,7,15,23,40,21,30
398,19,20,27,11,17,18,28,3,29,1
418,3,8,16,24,32,11,30,7,15,23
420,21,36,29,37,30,43,28,35,7,15
426,27,29,43,21,28,35,41,37,42,19
432,41,42,43,34,35,49,57,1,2,9
433,43,35,42,27,3,41,34,11,59,4
441,52,44,45,60,37,53,36,59,39,40
449,27,40,8,16,24,32,48,19,20,25
451,33,42,17,18,34,35,41,1,2,9
463,19,25,26,27,17,18,11,33,1,2
464,35,43,36,41,42,28,34,19,20,27
482,53,52,60,37,54,43,61,35,45,42
505,19,20,27,11,17,18,28,3,1,2
519,54,59,53,61,52,60,62,36,29,51
529,17,18,28,1,2,9,10,19,20,25
547,7,15,23,8,16,24,31,32,22,30
548,28,35,43,19,20,27,36,41,42,11
569,29,28,30,41,21,43,19,20,25,26
579,28,21,30,29,20,36,22,4,12,43
592,49,57,43,35,41,42,59,30,40,22
603,53,52,60,61,59,54,44,51,43,45
632,36,44,52,60,45,42,59,38,41,37
638,22,7,15,23,30,6,14,8,16,24
653,41,28,29,20,25,26,27,36,33,21
659,43,35,42,41,30,34,21,22,50,58
661,21,29,5,13,28,7,15,23,20,36
669,22,6,14,30,7,15,23,17,18,28
702,43,34,35,42,19,25,26,27,36,41
703,7,15,23,8,16,24,31,32,22,30
719,8,16,24,32,7,15,23,40,28,30
727,28,21,19,20,27,3,29,17,18,4
732,21,29,28,30,4,12,7,15,23,19
746,17,18,1,2,9,10,19,25,26,11
750,11,1,2,9,10,19,3,17,18,4
751,5,13,4,12,3,11,21,1,2,9
764,5,13,20,4,12,21,6,14,28,3
765,35,43,49,57,27,52,41,42,59,28
784,41,35,43,27,33,42,28,34,19,20
820,6,14,43,22,3,42,34,35,30,11
822,28,20,36,44,52,29,19,27,59,4
827,17,18,41,42,29,33,1,2,9,10
848,8,16,24,32,7,15,23,31,22,40
850,41,33,29,17,18,28,34,35,21,45
