1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,TPH1B,EVE1,CST3
2,SZL,FOXD3,WNT11,OTX1A,SNAI1A,ISM1,LFT2,OSR1,FOXI1,FOXD5
3,HES6,SP5L,NOTO,CHD,GSC,TBX16,GATA2A,TA,BMP4,BMP7A
4,OTX1B,GATA5,MIXL1,VENT,BMP2B,FOXB1A,CDX4,AXIN2,FGF8A,ID3
zf1_p5_S69_umi,29,28,44,21,45,37,39,19,20,27
zf1_p5_S58_umi,1,2,9,10,11,41,6,14,3,29
zf1_p6_S14_umi,35,21,43,30,28,36,3,29,41,42
zf2_dis_S1202_umi,44,21,45,52,29,39,37,28,36,43
zf1_p5_S10_umi,30,22,7,15,23,21,6,14,8,16
zf1_p7_S23_umi,21,30,22,29,6,14,28,7,15,23
zf2_dis_S285_umi,8,16,24,32,48,7,15,23,40,30
zf1_p8_S37_umi,21,5,13,28,29,20,22,4,12,6
zf2_dis_S1291_umi,3,11,4,12,1,2,9,10,19,17
zf2_dis_S1166_umi,28,36,20,29,7,15,23,44,21,8
zf2_dis_S296_umi,36,44,35,43,51,28,52,19,20,27
zf1_p8_S88_umi,36,35,43,21,28,44,41,42,37,3
zf2_dis_S1167_umi,36,37,54,52,28,44,38,29,20,34
zf1_p7_S15_umi,7,15,23,22,8,16,24,31,32,6
zf1_p7_S42_umi,7,15,23,6,14,8,16,24,31,32
zf1_p8_S66_umi,21,29,28,36,22,7,15,23,5,13
zf2_dis_S1378_umi,17,18,28,36,41,1,2,9,10,19
zf2_dis_S318_umi,30,7,15,23,22,8,16,24,31,32
zf1_p7_S34_umi,30,7,15,23,39,40,22,8,16,24
zf2_dis_S1329_umi,7,15,23,30,8,16,24,31,32,22
zf2_dis_S311_umi,36,30,35,43,22,38,28,44,41,52
zf1_p6_S51_umi,36,35,43,42,34,7,15,23,39,40
zf2_dis_S1234_umi,11,28,3,1,2,9,10,19,20,27
zf2_dis_S1195_umi,19,17,18,3,11,8,16,24,32,5
zf2_dis_S1258_umi,7,15,23,22,8,16,24,31,32,21
zf2_dis_S232_umi,30,8,16,24,32,22,48,7,15,23
zf2_dis_S1157_umi,27,33,41,19,20,25,26,35,43,11
zf2_dis_S217_umi,30,6,14,31,3,22,7,15,23,39
zf2_dis_S1283_umi,33,41,34,35,30,17,18,28,36,29
zf1_p5_S81_umi,27,41,28,30,29,19,20,25,26,35
zf2_dis_S238_umi,35,36,37,29,43,34,30,7,15,21
zf2_dis_S1155_umi,36,37,28,44,21,45,43,35,20,42
zf1_p5_S50_umi,34,35,19,33,7,15,23,17,18,28
zf2_dis_S287_umi,21,29,28,19,20,27,3,37,5,13
zf1_p5_S18_umi,7,15,23,8,16,24,31,32,22,30
zf1_p7_S45_umi,49,57,41,42,34,35,43,50,58,54
zf2_dis_S298_umi,7,15,23,8,16,24,31,32,22,39
zf2_dis_S252_umi,3,19,4,12,21,11,17,18,28,36
zf2_dis_S341_umi,59,52,36,44,51,43,35,60,42,54
zf1_p5_S64_umi,21,30,29,22,28,6,14,19,20,27
zf1_p6_S73_umi,35,36,43,41,34,27,42,59,33,31
zf2_dis_S247_umi,52,21,28,36,44,59,29,30,20,35
zf1_p6_S92_umi,21,7,15,23,29,28,36,8,16,24
zf2_dis_S1220_umi,19,17,18,28,11,1,2,9,10,20
zf2_dis_S1334_umi,7,15,23,8,16,24,31,32,22,30
zf2_dis_S302_umi,28,19,20,27,11,17,18,36,3,29
zf1_p7_S26_umi,35,36,43,34,42,33,44,51,37,38
zf2_dis_S208_umi,30,36,22,6,14,7,15,21,23,39
zf1_p6_S9_umi,41,43,35,42,49,57,36,21,34,27
zf1_p7_S58_umi,3,6,14,4,12,36,11,5,13,22
zf2_dis_S1306_umi,27,41,35,43,28,36,19,20,25,26
zf1_p7_S51_umi,28,19,20,27,11,17,18,36,3,29
zf2_dis_S1257_umi,17,18,4,12,1,2,9,10,19,20
zf2_dis_S1295_umi,28,19,20,27,29,21,17,18,36,11
zf3_dis_S1620_umi,31,7,15,23,28,21,6,14,5,13
zf3_dis_S1744_umi,54,35,60,43,38,36,52,42,59,56
zf3_dis_S1549_umi,44,39,40,45,52,43,38,47,48,42
zf3_dis_S1686_umi,52,43,35,60,42,59,36,44,50,58
zf3_dis_S1639_umi,51,49,57,43,35,27,41,42,59,28
zf3_dis_S1788_umi,7,15,23,8,16,24,31,32,30,39
zf3_dis_S1546_umi,7,15,23,6,14,22,8,16,24,31
zf3_dis_S1756_umi,37,36,44,45,43,35,42,52,38,21
zf3_dis_S1659_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1637_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1561_umi,19,20,4,12,17,18,28,11,5,13
zf3_dis_S1713_umi,30,22,6,14,49,57,34,35,7,15
