,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
10,41,49,33,57,25,17,9,1,42,34
30,41,49,33,57,25,17,9,1,42,34
37,28,29,27,30,20,36,31,19,35,21
40,41,49,33,57,25,17,9,1,42,34
41,28,29,27,30,20,36,31,19,35,21
47,49,41,57,33,25,17,9,1,50,42
50,7,8,6,5,4,15,14,16,13,12
79,41,49,33,57,25,17,9,1,42,34
97,33,41,25,49,17,57,9,1,34,42
123,49,41,57,33,25,17,9,1,50,42
137,41,49,33,57,25,17,9,1,42,34
156,41,49,33,57,25,17,9,1,42,34
160,50,42,58,51,49,43,59,41,57,34
167,21,22,20,23,24,29,13,19,28,12
173,6,5,7,8,4,14,13,15,16,12
183,21,22,20,23,24,29,13,19,28,12
184,41,49,33,57,25,17,9,1,42,34
199,61,62,60,63,64,53,59,52,54,55
202,1,2,3,4,5,6,7,8,9,10
203,41,49,33,57,25,17,9,1,42,34
210,41,49,33,57,25,17,9,1,42,34
225,50,42,58,51,49,43,59,41,57,34
229,1,2,3,4,5,6,7,8,9,10
230,28,29,27,30,20,36,31,19,35,21
233,21,22,20,23,24,29,13,19,28,12
248,17,9,25,1,33,41,49,57,18,10
262,1,2,3,4,5,6,7,8,9,10
263,41,49,33,57,25,17,9,1,42,34
271,1,2,3,4,5,6,7,8,9,10
289,41,49,33,57,25,17,9,1,42,34
308,37,38,36,39,40,45,29,35,44,28
320,36,37,35,38,44,28,39,43,27,45
321,33,41,25,49,17,57,9,1,34,42
326,21,22,20,23,24,29,13,19,28,12
334,7,8,6,5,4,15,14,16,13,12
347,1,2,3,4,5,6,7,8,9,10
361,47,48,46,45,44,39,55,54,38,56
388,3,4,11,2,5,10,12,6,13,18
406,1,2,3,4,5,6,7,8,9,10
410,49,41,57,33,25,17,9,1,50,42
417,49,41,57,33,25,17,9,1,50,42
422,52,53,51,54,60,44,55,59,43,61
444,21,22,20,23,24,29,13,19,28,12
445,19,20,27,11,18,21,10,26,28,12
446,21,22,20,23,24,29,13,19,28,12
458,17,9,25,1,33,41,49,57,18,10
460,51,52,59,43,50,53,42,58,60,44
469,41,49,33,57,25,17,9,1,42,34
498,41,49,33,57,25,17,9,1,42,34
501,19,20,27,11,18,21,10,26,28,12
508,1,2,3,4,5,6,7,8,9,10
515,28,29,27,30,20,36,31,19,35,21
520,17,9,25,1,33,41,49,57,18,10
522,49,41,57,33,25,17,9,1,50,42
538,22,21,23,24,20,30,14,29,13,31
540,1,2,3,4,5,6,7,8,9,10
555,64,63,62,61,56,55,54,60,53,52
556,41,49,33,57,25,17,9,1,42,34
576,1,2,3,4,5,6,7,8,9,10
605,47,48,46,45,44,39,55,54,38,56
616,7,8,6,5,4,15,14,16,13,12
619,49,41,57,33,25,17,9,1,50,42
622,7,8,6,5,4,15,14,16,13,12
626,6,5,7,8,4,14,13,15,16,12
639,19,20,27,11,18,21,10,26,28,12
657,49,41,57,33,25,17,9,1,50,42
658,52,53,51,54,60,44,55,59,43,61
662,41,49,33,57,25,17,9,1,42,34
666,17,9,25,1,33,41,49,57,18,10
686,48,47,46,45,40,56,39,55,38,54
699,8,7,6,5,16,15,14,4,13,12
706,55,56,54,53,52,47,63,46,62,64
711,7,8,6,5,4,15,14,16,13,12
717,41,49,33,57,25,17,9,1,42,34
762,50,42,58,51,49,43,59,41,57,34
773,52,53,51,54,60,44,55,59,43,61
775,30,29,31,32,28,38,22,21,37,39
776,41,49,33,57,25,17,9,1,42,34
786,36,37,35,38,44,28,39,43,27,45
787,17,9,25,1,33,41,49,57,18,10
792,49,41,57,33,25,17,9,1,50,42
794,41,49,33,57,25,17,9,1,42,34
810,37,38,36,39,40,45,29,35,44,28
816,1,2,3,4,5,6,7,8,9,10
825,29,30,28,31,32,21,37,27,20,36
830,4,5,3,6,12,7,11,13,14,8
