,ADMP,AXIN2,ID3,BMP7A,EVE1,NOG1,GATA2A,NOTO,SP5L,TBX16
,MIXL1,VOX,BMP4,CST3,LHX1A,FOXD5,HES6,SOX3,TA,VENT
1,39,40,38,37,36,47,31,46,30,48
9,49,41,57,33,25,17,9,1,50,42
24,49,41,57,33,25,17,9,1,50,42
25,59,60,51,58,61,50,52,62,53,42
28,6,5,7,8,4,14,13,15,16,12
55,51,52,59,43,50,53,42,58,60,44
58,41,49,33,57,25,17,9,1,42,34
69,34,26,42,35,33,43,27,41,25,50
83,51,52,59,43,50,53,42,58,60,44
87,1,2,3,4,5,6,7,8,9,10
92,51,52,59,43,50,53,42,58,60,44
94,21,22,20,23,24,29,13,19,28,12
104,51,52,59,43,50,53,42,58,60,44
106,21,22,20,23,24,29,13,19,28,12
110,49,41,57,33,25,17,9,1,50,42
113,41,49,33,57,25,17,9,1,42,34
149,35,36,43,27,34,37,26,42,44,28
152,28,29,27,30,20,36,31,19,35,21
157,49,41,57,33,25,17,9,1,50,42
161,49,41,57,33,25,17,9,1,50,42
187,1,9,17,25,33,41,49,57,2,10
217,49,41,57,33,25,17,9,1,50,42
255,1,2,3,4,5,6,7,8,9,10
261,63,64,62,61,60,55,54,56,53,52
269,49,41,57,33,25,17,9,1,50,42
283,51,52,59,43,50,53,42,58,60,44
298,41,49,33,57,25,17,9,1,42,34
305,41,49,33,57,25,17,9,1,42,34
306,1,9,17,25,33,41,49,57,2,10
336,59,60,51,58,61,50,52,62,53,42
340,34,26,42,35,33,43,27,41,25,50
352,21,22,20,23,24,29,13,19,28,12
358,1,9,17,25,33,41,49,57,2,10
375,41,49,33,57,25,17,9,1,42,34
390,5,6,4,7,8,13,3,12,14,15
396,1,9,17,25,33,41,49,57,2,10
397,41,49,33,57,25,17,9,1,42,34
401,35,36,43,27,34,37,26,42,44,28
419,1,2,3,4,5,6,7,8,9,10
424,55,56,54,53,52,47,63,46,62,64
429,41,49,33,57,25,17,9,1,42,34
450,29,30,28,31,32,21,37,27,20,36
454,47,48,46,45,44,39,55,54,38,56
467,51,52,59,43,50,53,42,58,60,44
474,41,49,33,57,25,17,9,1,42,34
478,1,2,3,4,5,6,7,8,9,10
483,1,2,3,4,5,6,7,8,9,10
488,34,26,42,35,33,43,27,41,25,50
493,6,5,7,8,4,14,13,15,16,12
528,59,60,51,58,61,50,52,62,53,42
534,5,6,4,7,8,13,3,12,14,15
552,3,4,11,2,5,10,12,6,13,18
560,49,41,57,33,25,17,9,1,50,42
562,6,5,7,8,4,14,13,15,16,12
563,6,5,7,8,4,14,13,15,16,12
586,33,41,25,49,17,57,9,1,34,42
598,35,36,43,27,34,37,26,42,44,28
599,41,49,33,57,25,17,9,1,42,34
600,1,9,17,25,33,41,49,57,2,10
604,1,2,3,4,5,6,7,8,9,10
607,4,5,3,6,12,7,11,13,14,8
621,1,9,17,25,33,41,49,57,2,10
663,7,8,6,5,4,15,14,16,13,12
665,47,48,46,45,44,39,55,54,38,56
673,39,40,38,37,36,47,31,46,30,48
680,1,9,17,25,33,41,49,57,2,10
694,3,4,11,2,5,10,12,6,13,18
707,51,52,59,43,50,53,42,58,60,44
712,7,8,6,5,4,15,14,16,13,12
723,29,30,28,31,32,21,37,27,20,36
754,21,22,20,23,24,29,13,19,28,12
760,7,8,6,5,4,15,14,16,13,12
766,49,41,57,33,25,17,9,1,50,42
795,29,30,28,31,32,21,37,27,20,36
797,21,22,20,23,24,29,13,19,28,12
799,33,41,25,49,17,57,9,1,34,42
801,36,37,35,38,44,28,39,43,27,45
809,6,5,7,8,4,14,13,15,16,12
813,59,60,51,58,61,50,52,62,53,42
834,49,41,57,33,25,17,9,1,50,42
837,35,36,43,27,34,37,26,42,44,28
845,3,4,11,2,5,10,12,6,13,18
846,1,9,17,25,33,41,49,57,2,10
851,41,49,33,57,25,17,9,1,42,34
