,ADMP,AXIN2,ID3,BMP7A,EVE1,NOG1,GATA2A,NOTO,SP5L,TBX16
,OSR1,VOX,BMP4,CST3,LHX1A,FOXD5,HES6,SOX3,TA,VENT
2,11,12,3,19,10,13,18,2,4,20
8,1,9,17,25,33,41,49,57,2,10
31,41,49,33,57,25,17,9,1,42,34
32,49,41,57,33,25,17,9,1,50,42
43,51,52,59,43,50,53,42,58,60,44
48,34,26,42,35,33,43,27,41,25,50
74,6,5,7,8,4,14,13,15,16,12
76,34,26,42,35,33,43,27,41,25,50
78,29,30,28,31,32,21,37,27,20,36
88,1,2,3,4,5,6,7,8,9,10
98,59,60,51,58,61,50,52,62,53,42
112,41,49,33,57,25,17,9,1,42,34
117,51,52,59,43,50,53,42,58,60,44
118,6,5,7,8,4,14,13,15,16,12
124,49,41,57,33,25,17,9,1,50,42
127,41,49,33,57,25,17,9,1,42,34
150,41,49,33,57,25,17,9,1,42,34
153,49,41,57,33,25,17,9,1,50,42
181,7,8,6,5,4,15,14,16,13,12
198,34,26,42,35,33,43,27,41,25,50
208,21,22,20,23,24,29,13,19,28,12
215,51,52,59,43,50,53,42,58,60,44
218,51,52,59,43,50,53,42,58,60,44
224,33,41,25,49,17,57,9,1,34,42
276,39,40,38,37,36,47,31,46,30,48
280,49,41,57,33,25,17,9,1,50,42
290,36,37,35,38,44,28,39,43,27,45
296,51,52,59,43,50,53,42,58,60,44
313,36,37,35,38,44,28,39,43,27,45
327,49,41,57,33,25,17,9,1,50,42
328,1,2,3,4,5,6,7,8,9,10
354,35,36,43,27,34,37,26,42,44,28
369,35,36,43,27,34,37,26,42,44,28
374,34,26,42,35,33,43,27,41,25,50
378,49,41,57,33,25,17,9,1,50,42
381,51,52,59,43,50,53,42,58,60,44
386,49,41,57,33,25,17,9,1,50,42
416,49,41,57,33,25,17,9,1,50,42
423,6,5,7,8,4,14,13,15,16,12
425,59,60,51,58,61,50,52,62,53,42
437,59,60,51,58,61,50,52,62,53,42
440,33,41,25,49,17,57,9,1,34,42
442,41,49,33,57,25,17,9,1,42,34
443,41,49,33,57,25,17,9,1,42,34
453,41,49,33,57,25,17,9,1,42,34
470,7,8,6,5,4,15,14,16,13,12
494,49,41,57,33,25,17,9,1,50,42
507,59,60,51,58,61,50,52,62,53,42
509,35,36,43,27,34,37,26,42,44,28
514,6,5,7,8,4,14,13,15,16,12
524,51,52,59,43,50,53,42,58,60,44
526,41,49,33,57,25,17,9,1,42,34
544,21,22,20,23,24,29,13,19,28,12
559,52,53,51,54,60,44,55,59,43,61
565,41,49,33,57,25,17,9,1,42,34
570,41,49,33,57,25,17,9,1,42,34
571,39,40,38,37,36,47,31,46,30,48
573,41,49,33,57,25,17,9,1,42,34
574,41,49,33,57,25,17,9,1,42,34
577,1,9,17,25,33,41,49,57,2,10
578,1,2,3,4,5,6,7,8,9,10
582,6,5,7,8,4,14,13,15,16,12
595,7,8,6,5,4,15,14,16,13,12
620,41,49,33,57,25,17,9,1,42,34
624,1,2,3,4,5,6,7,8,9,10
625,1,2,3,4,5,6,7,8,9,10
629,53,54,52,55,56,61,45,51,60,44
637,35,36,43,27,34,37,26,42,44,28
643,6,5,7,8,4,14,13,15,16,12
644,47,48,46,45,44,39,55,54,38,56
651,61,62,60,63,64,53,59,52,54,55
652,6,5,7,8,4,14,13,15,16,12
660,5,6,4,7,8,13,3,12,14,15
668,39,40,38,37,36,47,31,46,30,48
713,51,52,59,43,50,53,42,58,60,44
743,49,41,57,33,25,17,9,1,50,42
767,21,22,20,23,24,29,13,19,28,12
771,51,52,59,43,50,53,42,58,60,44
780,1,9,17,25,33,41,49,57,2,10
789,21,22,20,23,24,29,13,19,28,12
790,7,8,6,5,4,15,14,16,13,12
791,49,41,57,33,25,17,9,1,50,42
811,51,52,59,43,50,53,42,58,60,44
824,52,53,51,54,60,44,55,59,43,61
838,21,22,20,23,24,29,13,19,28,12
