,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
6,40,39,38,37,48,32,47,31,46,30
13,5,6,4,7,8,13,3,12,14,15
18,41,49,33,57,25,17,9,1,42,34
61,39,40,38,37,36,47,31,46,30,48
70,41,49,33,57,25,17,9,1,42,34
80,7,8,6,5,4,15,14,16,13,12
81,61,62,60,63,64,53,59,52,54,55
144,41,49,33,57,25,17,9,1,42,34
154,1,2,3,4,5,6,7,8,9,10
169,1,2,3,4,5,6,7,8,9,10
178,52,53,51,54,60,44,55,59,43,61
185,1,2,3,4,5,6,7,8,9,10
186,28,29,27,30,20,36,31,19,35,21
190,49,41,57,33,25,17,9,1,50,42
196,7,8,6,5,4,15,14,16,13,12
207,28,29,27,30,20,36,31,19,35,21
212,19,20,27,11,18,21,10,26,28,12
220,49,41,57,33,25,17,9,1,50,42
240,49,41,57,33,25,17,9,1,50,42
241,40,39,38,37,48,32,47,31,46,30
244,1,2,3,4,5,6,7,8,9,10
266,19,20,27,11,18,21,10,26,28,12
273,41,49,33,57,25,17,9,1,42,34
274,41,49,33,57,25,17,9,1,42,34
285,41,49,33,57,25,17,9,1,42,34
299,41,49,33,57,25,17,9,1,42,34
303,33,41,25,49,17,57,9,1,34,42
304,1,2,3,4,5,6,7,8,9,10
309,21,22,20,23,24,29,13,19,28,12
314,4,5,3,6,12,7,11,13,14,8
316,8,7,6,5,16,15,14,4,13,12
323,28,29,27,30,20,36,31,19,35,21
339,17,9,25,1,33,41,49,57,18,10
351,41,49,33,57,25,17,9,1,42,34
357,41,49,33,57,25,17,9,1,42,34
359,41,49,33,57,25,17,9,1,42,34
362,21,22,20,23,24,29,13,19,28,12
365,1,2,3,4,5,6,7,8,9,10
370,43,44,35,51,42,45,50,34,36,52
382,41,49,33,57,25,17,9,1,42,34
393,1,2,3,4,5,6,7,8,9,10
404,49,41,57,33,25,17,9,1,50,42
455,49,41,57,33,25,17,9,1,50,42
466,50,42,58,51,49,43,59,41,57,34
472,30,29,31,32,28,38,22,21,37,39
479,17,9,25,1,33,41,49,57,18,10
485,50,42,58,51,49,43,59,41,57,34
500,50,42,58,51,49,43,59,41,57,34
511,29,30,28,31,32,21,37,27,20,36
516,1,2,3,4,5,6,7,8,9,10
521,19,20,27,11,18,21,10,26,28,12
523,52,53,51,54,60,44,55,59,43,61
527,49,41,57,33,25,17,9,1,50,42
536,52,53,51,54,60,44,55,59,43,61
537,5,6,4,7,8,13,3,12,14,15
558,33,41,25,49,17,57,9,1,34,42
566,21,22,20,23,24,29,13,19,28,12
583,21,22,20,23,24,29,13,19,28,12
596,1,2,3,4,5,6,7,8,9,10
608,17,9,25,1,33,41,49,57,18,10
613,1,2,3,4,5,6,7,8,9,10
631,21,22,20,23,24,29,13,19,28,12
647,63,64,62,61,60,55,54,56,53,52
654,1,9,17,25,33,41,49,57,2,10
682,41,49,33,57,25,17,9,1,42,34
687,4,5,3,6,12,7,11,13,14,8
690,39,40,38,37,36,47,31,46,30,48
705,52,53,51,54,60,44,55,59,43,61
718,21,22,20,23,24,29,13,19,28,12
735,19,20,27,11,18,21,10,26,28,12
740,7,8,6,5,4,15,14,16,13,12
745,21,22,20,23,24,29,13,19,28,12
752,4,5,3,6,12,7,11,13,14,8
753,49,41,57,33,25,17,9,1,50,42
755,45,46,44,47,48,37,53,43,36,52
757,43,44,35,51,42,45,50,34,36,52
758,33,41,25,49,17,57,9,1,34,42
759,49,41,57,33,25,17,9,1,50,42
782,63,64,62,61,60,55,54,56,53,52
788,17,9,25,1,33,41,49,57,18,10
798,50,42,58,51,49,43,59,41,57,34
805,21,22,20,23,24,29,13,19,28,12
812,49,41,57,33,25,17,9,1,50,42
828,1,2,3,4,5,6,7,8,9,10
841,7,8,6,5,4,15,14,16,13,12
