,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
11,41,49,33,57,25,17,9,1,42,34
17,3,4,11,2,5,10,12,6,13,18
19,17,9,25,1,33,41,49,57,18,10
22,17,9,25,1,33,41,49,57,18,10
27,21,22,20,23,24,29,13,19,28,12
29,1,2,3,4,5,6,7,8,9,10
46,49,41,57,33,25,17,9,1,50,42
52,50,42,58,51,49,43,59,41,57,34
59,17,9,25,1,33,41,49,57,18,10
60,41,49,33,57,25,17,9,1,42,34
65,41,49,33,57,25,17,9,1,42,34
71,1,2,3,4,5,6,7,8,9,10
93,36,37,35,38,44,28,39,43,27,45
96,21,22,20,23,24,29,13,19,28,12
100,41,49,33,57,25,17,9,1,42,34
116,49,41,57,33,25,17,9,1,50,42
134,49,41,57,33,25,17,9,1,50,42
135,41,49,33,57,25,17,9,1,42,34
148,41,49,33,57,25,17,9,1,42,34
151,61,62,60,63,64,53,59,52,54,55
176,1,2,3,4,5,6,7,8,9,10
177,49,41,57,33,25,17,9,1,50,42
191,21,22,20,23,24,29,13,19,28,12
193,61,62,60,63,64,53,59,52,54,55
195,41,49,33,57,25,17,9,1,42,34
221,21,22,20,23,24,29,13,19,28,12
223,41,49,33,57,25,17,9,1,42,34
231,41,49,33,57,25,17,9,1,42,34
234,49,41,57,33,25,17,9,1,50,42
238,36,37,35,38,44,28,39,43,27,45
264,41,49,33,57,25,17,9,1,42,34
272,43,44,35,51,42,45,50,34,36,52
278,1,2,3,4,5,6,7,8,9,10
287,36,37,35,38,44,28,39,43,27,45
292,41,49,33,57,25,17,9,1,42,34
317,7,8,6,5,4,15,14,16,13,12
330,21,22,20,23,24,29,13,19,28,12
335,45,46,44,47,48,37,53,43,36,52
343,52,53,51,54,60,44,55,59,43,61
348,51,52,59,43,50,53,42,58,60,44
349,41,49,33,57,25,17,9,1,42,34
380,17,9,25,1,33,41,49,57,18,10
399,1,9,17,25,33,41,49,57,2,10
408,41,49,33,57,25,17,9,1,42,34
434,41,49,33,57,25,17,9,1,42,34
468,1,2,3,4,5,6,7,8,9,10
473,41,49,33,57,25,17,9,1,42,34
491,21,22,20,23,24,29,13,19,28,12
499,35,36,43,27,34,37,26,42,44,28
525,44,45,43,46,36,52,47,35,51,37
530,40,39,38,37,48,32,47,31,46,30
532,3,4,11,2,5,10,12,6,13,18
535,31,32,30,29,28,23,39,22,38,24
539,21,22,20,23,24,29,13,19,28,12
550,31,32,30,29,28,23,39,22,38,24
564,7,8,6,5,4,15,14,16,13,12
575,17,9,25,1,33,41,49,57,18,10
588,64,63,62,61,56,55,54,60,53,52
591,8,7,6,5,16,15,14,4,13,12
635,41,49,33,57,25,17,9,1,42,34
636,35,36,43,27,34,37,26,42,44,28
645,7,8,6,5,4,15,14,16,13,12
671,6,5,7,8,4,14,13,15,16,12
672,28,29,27,30,20,36,31,19,35,21
685,41,49,33,57,25,17,9,1,42,34
696,51,52,59,43,50,53,42,58,60,44
708,7,8,6,5,4,15,14,16,13,12
720,1,2,3,4,5,6,7,8,9,10
721,17,9,25,1,33,41,49,57,18,10
737,43,44,35,51,42,45,50,34,36,52
738,21,22,20,23,24,29,13,19,28,12
747,64,63,62,61,56,55,54,60,53,52
768,8,7,6,5,16,15,14,4,13,12
777,8,7,6,5,16,15,14,4,13,12
785,21,22,20,23,24,29,13,19,28,12
803,1,2,3,4,5,6,7,8,9,10
804,22,21,23,24,20,30,14,29,13,31
806,56,55,54,53,64,48,47,63,46,62
807,21,22,20,23,24,29,13,19,28,12
808,21,22,20,23,24,29,13,19,28,12
817,60,61,59,62,52,63,51,53,54,64
826,41,49,33,57,25,17,9,1,42,34
836,5,6,4,7,8,13,3,12,14,15
840,45,46,44,47,48,37,53,43,36,52
844,28,29,27,30,20,36,31,19,35,21
847,21,22,20,23,24,29,13,19,28,12
