,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
12,41,49,33,57,25,17,9,1,42,34
26,41,49,33,57,25,17,9,1,42,34
45,41,49,33,57,25,17,9,1,42,34
51,1,2,3,4,5,6,7,8,9,10
67,1,2,3,4,5,6,7,8,9,10
73,52,53,51,54,60,44,55,59,43,61
77,41,49,33,57,25,17,9,1,42,34
85,1,2,3,4,5,6,7,8,9,10
101,60,61,59,62,52,63,51,53,54,64
103,49,41,57,33,25,17,9,1,50,42
105,41,49,33,57,25,17,9,1,42,34
107,1,2,3,4,5,6,7,8,9,10
132,49,41,57,33,25,17,9,1,50,42
136,35,36,43,27,34,37,26,42,44,28
141,41,49,33,57,25,17,9,1,42,34
166,17,9,25,1,33,41,49,57,18,10
168,33,41,25,49,17,57,9,1,34,42
170,4,5,3,6,12,7,11,13,14,8
180,21,22,20,23,24,29,13,19,28,12
182,41,49,33,57,25,17,9,1,42,34
197,28,29,27,30,20,36,31,19,35,21
211,1,2,3,4,5,6,7,8,9,10
214,35,36,43,27,34,37,26,42,44,28
219,41,49,33,57,25,17,9,1,42,34
235,41,49,33,57,25,17,9,1,42,34
239,1,2,3,4,5,6,7,8,9,10
245,45,46,44,47,48,37,53,43,36,52
247,1,9,17,25,33,41,49,57,2,10
257,17,9,25,1,33,41,49,57,18,10
260,21,22,20,23,24,29,13,19,28,12
268,43,44,35,51,42,45,50,34,36,52
270,1,2,3,4,5,6,7,8,9,10
279,20,21,19,22,28,12,23,27,11,29
315,52,53,51,54,60,44,55,59,43,61
322,49,41,57,33,25,17,9,1,50,42
331,1,2,3,4,5,6,7,8,9,10
338,33,41,25,49,17,57,9,1,34,42
350,21,22,20,23,24,29,13,19,28,12
403,43,44,35,51,42,45,50,34,36,52
405,17,9,25,1,33,41,49,57,18,10
411,50,42,58,51,49,43,59,41,57,34
415,19,20,27,11,18,21,10,26,28,12
421,21,22,20,23,24,29,13,19,28,12
427,21,22,20,23,24,29,13,19,28,12
447,48,47,46,45,40,56,39,55,38,54
465,45,46,44,47,48,37,53,43,36,52
475,17,9,25,1,33,41,49,57,18,10
480,1,2,3,4,5,6,7,8,9,10
481,45,46,44,47,48,37,53,43,36,52
486,41,49,33,57,25,17,9,1,42,34
531,6,5,7,8,4,14,13,15,16,12
543,7,8,6,5,4,15,14,16,13,12
551,28,29,27,30,20,36,31,19,35,21
554,43,44,35,51,42,45,50,34,36,52
561,17,9,25,1,33,41,49,57,18,10
572,4,5,3,6,12,7,11,13,14,8
584,36,37,35,38,44,28,39,43,27,45
593,17,9,25,1,33,41,49,57,18,10
601,50,42,58,51,49,43,59,41,57,34
612,45,46,44,47,48,37,53,43,36,52
614,21,22,20,23,24,29,13,19,28,12
615,21,22,20,23,24,29,13,19,28,12
623,29,30,28,31,32,21,37,27,20,36
628,6,5,7,8,4,14,13,15,16,12
640,1,9,17,25,33,41,49,57,2,10
641,50,42,58,51,49,43,59,41,57,34
650,49,41,57,33,25,17,9,1,50,42
656,41,49,33,57,25,17,9,1,42,34
664,41,49,33,57,25,17,9,1,42,34
675,36,37,35,38,44,28,39,43,27,45
684,21,22,20,23,24,29,13,19,28,12
691,41,49,33,57,25,17,9,1,42,34
695,27,28,19,35,26,29,18,34,20,36
709,3,4,11,2,5,10,12,6,13,18
716,17,9,25,1,33,41,49,57,18,10
722,17,9,25,1,33,41,49,57,18,10
733,8,7,6,5,16,15,14,4,13,12
748,52,53,51,54,60,44,55,59,43,61
769,7,8,6,5,4,15,14,16,13,12
772,50,42,58,51,49,43,59,41,57,34
779,1,2,3,4,5,6,7,8,9,10
829,33,41,25,49,17,57,9,1,34,42
832,28,29,27,30,20,36,31,19,35,21
842,60,61,59,62,52,63,51,53,54,64
