,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
1,7,8,6,5,4,15,14,16,13,12
9,33,41,25,49,17,57,9,1,34,42
24,50,42,58,51,49,43,59,41,57,34
25,49,41,57,33,25,17,9,1,50,42
28,21,22,20,23,24,29,13,19,28,12
55,1,2,3,4,5,6,7,8,9,10
58,17,9,25,1,33,41,49,57,18,10
69,36,37,35,38,44,28,39,43,27,45
83,51,52,59,43,50,53,42,58,60,44
87,1,2,3,4,5,6,7,8,9,10
92,11,12,3,19,10,13,18,2,4,20
94,39,40,38,37,36,47,31,46,30,48
104,11,12,3,19,10,13,18,2,4,20
106,21,22,20,23,24,29,13,19,28,12
110,41,49,33,57,25,17,9,1,42,34
113,41,49,33,57,25,17,9,1,42,34
149,51,52,59,43,50,53,42,58,60,44
152,8,7,6,5,16,15,14,4,13,12
157,17,9,25,1,33,41,49,57,18,10
161,17,9,25,1,33,41,49,57,18,10
187,1,9,17,25,33,41,49,57,2,10
217,44,45,43,46,36,52,47,35,51,37
255,1,2,3,4,5,6,7,8,9,10
261,47,48,46,45,44,39,55,54,38,56
269,41,49,33,57,25,17,9,1,42,34
283,41,49,33,57,25,17,9,1,42,34
298,41,49,33,57,25,17,9,1,42,34
305,33,41,25,49,17,57,9,1,34,42
306,17,9,25,1,33,41,49,57,18,10
336,52,53,51,54,60,44,55,59,43,61
340,50,42,58,51,49,43,59,41,57,34
352,5,6,4,7,8,13,3,12,14,15
358,17,9,25,1,33,41,49,57,18,10
375,41,49,33,57,25,17,9,1,42,34
390,47,48,46,45,44,39,55,54,38,56
396,1,9,17,25,33,41,49,57,2,10
397,41,49,33,57,25,17,9,1,42,34
401,43,44,35,51,42,45,50,34,36,52
419,1,2,3,4,5,6,7,8,9,10
424,50,42,58,51,49,43,59,41,57,34
429,33,41,25,49,17,57,9,1,34,42
450,29,30,28,31,32,21,37,27,20,36
454,47,48,46,45,44,39,55,54,38,56
467,41,49,33,57,25,17,9,1,42,34
474,50,42,58,51,49,43,59,41,57,34
478,1,2,3,4,5,6,7,8,9,10
483,1,2,3,4,5,6,7,8,9,10
488,34,26,42,35,33,43,27,41,25,50
493,6,5,7,8,4,14,13,15,16,12
528,59,60,51,58,61,50,52,62,53,42
534,30,29,31,32,28,38,22,21,37,39
552,3,4,11,2,5,10,12,6,13,18
560,41,49,33,57,25,17,9,1,42,34
562,49,41,57,33,25,17,9,1,50,42
563,43,44,35,51,42,45,50,34,36,52
586,41,49,33,57,25,17,9,1,42,34
598,43,44,35,51,42,45,50,34,36,52
599,33,41,25,49,17,57,9,1,34,42
600,17,9,25,1,33,41,49,57,18,10
604,17,9,25,1,33,41,49,57,18,10
607,28,29,27,30,20,36,31,19,35,21
621,1,9,17,25,33,41,49,57,2,10
663,7,8,6,5,4,15,14,16,13,12
665,47,48,46,45,44,39,55,54,38,56
673,31,32,30,29,28,23,39,22,38,24
680,17,9,25,1,33,41,49,57,18,10
694,3,4,11,2,5,10,12,6,13,18
707,11,12,3,19,10,13,18,2,4,20
712,7,8,6,5,4,15,14,16,13,12
723,41,49,33,57,25,17,9,1,42,34
754,21,22,20,23,24,29,13,19,28,12
760,30,29,31,32,28,38,22,21,37,39
766,50,42,58,51,49,43,59,41,57,34
795,29,30,28,31,32,21,37,27,20,36
797,5,6,4,7,8,13,3,12,14,15
799,17,9,25,1,33,41,49,57,18,10
801,52,53,51,54,60,44,55,59,43,61
809,45,46,44,47,48,37,53,43,36,52
813,1,2,3,4,5,6,7,8,9,10
834,49,41,57,33,25,17,9,1,50,42
837,41,49,33,57,25,17,9,1,42,34
845,28,29,27,30,20,36,31,19,35,21
846,17,9,25,1,33,41,49,57,18,10
851,1,2,3,4,5,6,7,8,9,10
