,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
33,41,49,33,57,25,17,9,1,42,34
54,1,2,3,4,5,6,7,8,9,10
75,21,22,20,23,24,29,13,19,28,12
84,1,2,3,4,5,6,7,8,9,10
86,28,29,27,30,20,36,31,19,35,21
90,21,22,20,23,24,29,13,19,28,12
91,41,49,33,57,25,17,9,1,42,34
95,17,9,25,1,33,41,49,57,18,10
119,41,49,33,57,25,17,9,1,42,34
122,50,42,58,51,49,43,59,41,57,34
133,1,9,17,25,33,41,49,57,2,10
143,1,9,17,25,33,41,49,57,2,10
155,39,40,38,37,36,47,31,46,30,48
162,1,9,17,25,33,41,49,57,2,10
179,1,2,3,4,5,6,7,8,9,10
200,1,9,17,25,33,41,49,57,2,10
206,17,9,25,1,33,41,49,57,18,10
209,42,50,34,43,41,51,35,49,33,58
216,41,49,33,57,25,17,9,1,42,34
236,1,9,17,25,33,41,49,57,2,10
246,33,41,25,49,17,57,9,1,34,42
251,30,29,31,32,28,38,22,21,37,39
254,17,9,25,1,33,41,49,57,18,10
259,33,41,25,49,17,57,9,1,34,42
267,21,22,20,23,24,29,13,19,28,12
284,43,44,35,51,42,45,50,34,36,52
295,41,49,33,57,25,17,9,1,42,34
302,52,53,51,54,60,44,55,59,43,61
310,1,2,3,4,5,6,7,8,9,10
318,49,41,57,33,25,17,9,1,50,42
325,21,22,20,23,24,29,13,19,28,12
346,50,42,58,51,49,43,59,41,57,34
363,41,49,33,57,25,17,9,1,42,34
367,45,46,44,47,48,37,53,43,36,52
377,30,29,31,32,28,38,22,21,37,39
385,7,8,6,5,4,15,14,16,13,12
391,1,2,3,4,5,6,7,8,9,10
392,1,2,3,4,5,6,7,8,9,10
402,21,22,20,23,24,29,13,19,28,12
407,43,44,35,51,42,45,50,34,36,52
412,52,53,51,54,60,44,55,59,43,61
413,1,2,3,4,5,6,7,8,9,10
430,49,41,57,33,25,17,9,1,50,42
461,17,9,25,1,33,41,49,57,18,10
462,21,22,20,23,24,29,13,19,28,12
476,49,41,57,33,25,17,9,1,50,42
477,41,49,33,57,25,17,9,1,42,34
489,41,49,33,57,25,17,9,1,42,34
490,41,49,33,57,25,17,9,1,42,34
496,49,41,57,33,25,17,9,1,50,42
513,1,2,3,4,5,6,7,8,9,10
518,3,4,11,2,5,10,12,6,13,18
533,36,37,35,38,44,28,39,43,27,45
541,33,41,25,49,17,57,9,1,34,42
545,49,41,57,33,25,17,9,1,50,42
546,45,46,44,47,48,37,53,43,36,52
553,1,2,3,4,5,6,7,8,9,10
580,56,55,54,53,64,48,47,63,46,62
587,41,49,33,57,25,17,9,1,42,34
590,41,49,33,57,25,17,9,1,42,34
602,1,2,3,4,5,6,7,8,9,10
617,41,49,33,57,25,17,9,1,42,34
630,3,4,11,2,5,10,12,6,13,18
642,52,53,51,54,60,44,55,59,43,61
646,1,2,3,4,5,6,7,8,9,10
648,30,29,31,32,28,38,22,21,37,39
677,41,49,33,57,25,17,9,1,42,34
692,56,55,54,53,64,48,47,63,46,62
693,52,53,51,54,60,44,55,59,43,61
697,56,55,54,53,64,48,47,63,46,62
698,56,55,54,53,64,48,47,63,46,62
701,49,41,57,33,25,17,9,1,50,42
704,49,41,57,33,25,17,9,1,50,42
710,63,64,62,61,60,55,54,56,53,52
726,41,49,33,57,25,17,9,1,42,34
730,17,9,25,1,33,41,49,57,18,10
734,43,44,35,51,42,45,50,34,36,52
736,21,22,20,23,24,29,13,19,28,12
739,1,2,3,4,5,6,7,8,9,10
741,21,22,20,23,24,29,13,19,28,12
756,1,2,3,4,5,6,7,8,9,10
761,60,61,59,62,52,63,51,53,54,64
770,8,7,6,5,16,15,14,4,13,12
835,1,2,3,4,5,6,7,8,9,10
839,33,41,25,49,17,57,9,1,34,42
