,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
3,43,44,35,51,42,45,50,34,36,52
4,8,7,6,5,16,15,14,4,13,12
16,50,42,58,51,49,43,59,41,57,34
23,36,37,35,38,44,28,39,43,27,45
34,33,41,25,49,17,57,9,1,34,42
38,21,22,20,23,24,29,13,19,28,12
44,41,49,33,57,25,17,9,1,42,34
56,1,9,17,25,33,41,49,57,2,10
64,3,4,11,2,5,10,12,6,13,18
82,41,49,33,57,25,17,9,1,42,34
108,21,22,20,23,24,29,13,19,28,12
111,35,36,43,27,34,37,26,42,44,28
114,41,49,33,57,25,17,9,1,42,34
126,41,49,33,57,25,17,9,1,42,34
131,49,41,57,33,25,17,9,1,50,42
138,41,49,33,57,25,17,9,1,42,34
163,17,9,25,1,33,41,49,57,18,10
164,39,40,38,37,36,47,31,46,30,48
165,41,49,33,57,25,17,9,1,42,34
174,17,9,25,1,33,41,49,57,18,10
201,17,9,25,1,33,41,49,57,18,10
204,21,22,20,23,24,29,13,19,28,12
205,3,4,11,2,5,10,12,6,13,18
213,41,49,33,57,25,17,9,1,42,34
222,52,53,51,54,60,44,55,59,43,61
232,44,45,43,46,36,52,47,35,51,37
252,6,5,7,8,4,14,13,15,16,12
265,45,46,44,47,48,37,53,43,36,52
275,41,49,33,57,25,17,9,1,42,34
282,41,49,33,57,25,17,9,1,42,34
286,17,9,25,1,33,41,49,57,18,10
288,49,41,57,33,25,17,9,1,50,42
293,29,30,28,31,32,21,37,27,20,36
294,41,49,33,57,25,17,9,1,42,34
297,49,41,57,33,25,17,9,1,50,42
329,21,22,20,23,24,29,13,19,28,12
341,8,7,6,5,16,15,14,4,13,12
342,1,2,3,4,5,6,7,8,9,10
345,41,49,33,57,25,17,9,1,42,34
356,7,8,6,5,4,15,14,16,13,12
373,3,4,11,2,5,10,12,6,13,18
384,28,29,27,30,20,36,31,19,35,21
389,8,7,6,5,16,15,14,4,13,12
398,28,29,27,30,20,36,31,19,35,21
418,41,49,33,57,25,17,9,1,42,34
420,36,37,35,38,44,28,39,43,27,45
426,43,44,35,51,42,45,50,34,36,52
432,41,49,33,57,25,17,9,1,42,34
433,1,2,3,4,5,6,7,8,9,10
441,52,53,51,54,60,44,55,59,43,61
449,35,36,43,27,34,37,26,42,44,28
451,49,41,57,33,25,17,9,1,50,42
463,33,41,25,49,17,57,9,1,34,42
464,60,61,59,62,52,63,51,53,54,64
482,52,53,51,54,60,44,55,59,43,61
505,41,49,33,57,25,17,9,1,42,34
519,52,53,51,54,60,44,55,59,43,61
529,41,49,33,57,25,17,9,1,42,34
547,7,8,6,5,4,15,14,16,13,12
548,1,2,3,4,5,6,7,8,9,10
569,49,41,57,33,25,17,9,1,50,42
579,28,29,27,30,20,36,31,19,35,21
592,49,41,57,33,25,17,9,1,50,42
603,1,2,3,4,5,6,7,8,9,10
632,41,49,33,57,25,17,9,1,42,34
638,49,41,57,33,25,17,9,1,50,42
653,1,2,3,4,5,6,7,8,9,10
659,41,49,33,57,25,17,9,1,42,34
661,21,22,20,23,24,29,13,19,28,12
669,21,22,20,23,24,29,13,19,28,12
702,50,42,58,51,49,43,59,41,57,34
703,7,8,6,5,4,15,14,16,13,12
719,40,39,38,37,48,32,47,31,46,30
727,17,9,25,1,33,41,49,57,18,10
732,45,46,44,47,48,37,53,43,36,52
746,1,2,3,4,5,6,7,8,9,10
750,17,9,25,1,33,41,49,57,18,10
751,3,4,11,2,5,10,12,6,13,18
764,4,5,3,6,12,7,11,13,14,8
765,49,41,57,33,25,17,9,1,50,42
784,41,49,33,57,25,17,9,1,42,34
820,49,41,57,33,25,17,9,1,50,42
822,36,37,35,38,44,28,39,43,27,45
827,41,49,33,57,25,17,9,1,42,34
848,8,7,6,5,16,15,14,4,13,12
850,41,49,33,57,25,17,9,1,42,34
