,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
14,39,40,38,37,36,47,31,46,30,48
15,49,41,57,33,25,17,9,1,50,42
21,41,49,33,57,25,17,9,1,42,34
39,50,42,58,51,49,43,59,41,57,34
42,1,9,17,25,33,41,49,57,2,10
57,17,9,25,1,33,41,49,57,18,10
62,41,49,33,57,25,17,9,1,42,34
66,50,42,58,51,49,43,59,41,57,34
68,49,41,57,33,25,17,9,1,50,42
99,20,21,19,22,28,12,23,27,11,29
109,28,29,27,30,20,36,31,19,35,21
129,41,49,33,57,25,17,9,1,42,34
140,51,52,59,43,50,53,42,58,60,44
142,33,41,25,49,17,57,9,1,34,42
147,52,53,51,54,60,44,55,59,43,61
171,17,9,25,1,33,41,49,57,18,10
175,41,49,33,57,25,17,9,1,42,34
188,41,49,33,57,25,17,9,1,42,34
189,51,52,59,43,50,53,42,58,60,44
192,21,22,20,23,24,29,13,19,28,12
228,41,49,33,57,25,17,9,1,42,34
237,49,41,57,33,25,17,9,1,50,42
243,5,6,4,7,8,13,3,12,14,15
249,49,41,57,33,25,17,9,1,50,42
250,7,8,6,5,4,15,14,16,13,12
253,41,49,33,57,25,17,9,1,42,34
256,59,60,51,58,61,50,52,62,53,42
281,1,2,3,4,5,6,7,8,9,10
300,1,2,3,4,5,6,7,8,9,10
307,21,22,20,23,24,29,13,19,28,12
311,17,9,25,1,33,41,49,57,18,10
312,40,39,38,37,48,32,47,31,46,30
324,1,2,3,4,5,6,7,8,9,10
332,21,22,20,23,24,29,13,19,28,12
353,22,21,23,24,20,30,14,29,13,31
355,50,42,58,51,49,43,59,41,57,34
364,1,2,3,4,5,6,7,8,9,10
379,39,40,38,37,36,47,31,46,30,48
387,41,49,33,57,25,17,9,1,42,34
428,17,9,25,1,33,41,49,57,18,10
431,36,37,35,38,44,28,39,43,27,45
436,59,60,51,58,61,50,52,62,53,42
439,1,2,3,4,5,6,7,8,9,10
448,21,22,20,23,24,29,13,19,28,12
457,36,37,35,38,44,28,39,43,27,45
487,1,2,3,4,5,6,7,8,9,10
492,35,36,43,27,34,37,26,42,44,28
502,41,49,33,57,25,17,9,1,42,34
503,50,42,58,51,49,43,59,41,57,34
512,1,9,17,25,33,41,49,57,2,10
517,49,41,57,33,25,17,9,1,50,42
542,45,46,44,47,48,37,53,43,36,52
557,1,2,3,4,5,6,7,8,9,10
567,41,49,33,57,25,17,9,1,42,34
568,6,5,7,8,4,14,13,15,16,12
581,39,40,38,37,36,47,31,46,30,48
585,7,8,6,5,4,15,14,16,13,12
589,1,2,3,4,5,6,7,8,9,10
597,1,9,17,25,33,41,49,57,2,10
606,1,2,3,4,5,6,7,8,9,10
609,1,9,17,25,33,41,49,57,2,10
611,28,29,27,30,20,36,31,19,35,21
634,41,49,33,57,25,17,9,1,42,34
655,64,63,62,61,56,55,54,60,53,52
670,33,41,25,49,17,57,9,1,34,42
674,7,8,6,5,4,15,14,16,13,12
676,7,8,6,5,4,15,14,16,13,12
678,47,48,46,45,44,39,55,54,38,56
688,41,49,33,57,25,17,9,1,42,34
714,49,41,57,33,25,17,9,1,50,42
725,52,53,51,54,60,44,55,59,43,61
728,21,22,20,23,24,29,13,19,28,12
729,28,29,27,30,20,36,31,19,35,21
731,1,9,17,25,33,41,49,57,2,10
763,21,22,20,23,24,29,13,19,28,12
774,52,53,51,54,60,44,55,59,43,61
778,21,22,20,23,24,29,13,19,28,12
783,1,2,3,4,5,6,7,8,9,10
796,45,46,44,47,48,37,53,43,36,52
800,41,49,33,57,25,17,9,1,42,34
802,21,22,20,23,24,29,13,19,28,12
815,5,6,4,7,8,13,3,12,14,15
819,7,8,6,5,4,15,14,16,13,12
821,21,22,20,23,24,29,13,19,28,12
833,49,41,57,33,25,17,9,1,50,42
