,ADMP,AXIN2,ID3,BMP7A,EVE1,NOG1,GATA2A,NOTO,SP5L,TBX16
,OSR1,VOX,BMP4,CST3,NDR1,FOXD5,HES6,SOX3,TA,VENT
11,1,2,3,4,5,6,7,8,9,10
17,3,4,11,2,5,10,12,6,13,18
19,1,2,3,4,5,6,7,8,9,10
22,1,9,17,25,33,41,49,57,2,10
27,6,5,7,8,4,14,13,15,16,12
29,1,9,17,25,33,41,49,57,2,10
46,34,26,42,35,33,43,27,41,25,50
52,49,41,57,33,25,17,9,1,50,42
59,51,52,59,43,50,53,42,58,60,44
60,1,2,3,4,5,6,7,8,9,10
65,41,49,33,57,25,17,9,1,42,34
71,1,2,3,4,5,6,7,8,9,10
93,52,53,51,54,60,44,55,59,43,61
96,21,22,20,23,24,29,13,19,28,12
100,41,49,33,57,25,17,9,1,42,34
116,49,41,57,33,25,17,9,1,50,42
134,1,2,3,4,5,6,7,8,9,10
135,21,22,20,23,24,29,13,19,28,12
148,34,26,42,35,33,43,27,41,25,50
151,61,62,60,63,64,53,59,52,54,55
176,1,2,3,4,5,6,7,8,9,10
177,36,37,35,38,44,28,39,43,27,45
191,6,5,7,8,4,14,13,15,16,12
193,29,30,28,31,32,21,37,27,20,36
195,33,41,25,49,17,57,9,1,34,42
221,6,5,7,8,4,14,13,15,16,12
223,41,49,33,57,25,17,9,1,42,34
231,51,52,59,43,50,53,42,58,60,44
234,49,41,57,33,25,17,9,1,50,42
238,36,37,35,38,44,28,39,43,27,45
264,1,2,3,4,5,6,7,8,9,10
272,35,36,43,27,34,37,26,42,44,28
278,41,49,33,57,25,17,9,1,42,34
287,41,49,33,57,25,17,9,1,42,34
292,41,49,33,57,25,17,9,1,42,34
317,21,22,20,23,24,29,13,19,28,12
330,21,22,20,23,24,29,13,19,28,12
335,53,54,52,55,56,61,45,51,60,44
343,59,60,51,58,61,50,52,62,53,42
348,51,52,59,43,50,53,42,58,60,44
349,51,52,59,43,50,53,42,58,60,44
380,49,41,57,33,25,17,9,1,50,42
399,1,9,17,25,33,41,49,57,2,10
408,41,49,33,57,25,17,9,1,42,34
434,49,41,57,33,25,17,9,1,50,42
468,3,4,11,2,5,10,12,6,13,18
473,41,49,33,57,25,17,9,1,42,34
491,21,22,20,23,24,29,13,19,28,12
499,35,36,43,27,34,37,26,42,44,28
525,49,41,57,33,25,17,9,1,50,42
530,47,48,46,45,44,39,55,54,38,56
532,6,5,7,8,4,14,13,15,16,12
535,39,40,38,37,36,47,31,46,30,48
539,6,5,7,8,4,14,13,15,16,12
550,39,40,38,37,36,47,31,46,30,48
564,21,22,20,23,24,29,13,19,28,12
575,49,41,57,33,25,17,9,1,50,42
588,62,61,63,64,60,54,53,55,56,52
591,63,64,62,61,60,55,54,56,53,52
635,33,41,25,49,17,57,9,1,34,42
636,51,52,59,43,50,53,42,58,60,44
645,39,40,38,37,36,47,31,46,30,48
671,6,5,7,8,4,14,13,15,16,12
672,3,4,11,2,5,10,12,6,13,18
685,49,41,57,33,25,17,9,1,50,42
696,51,52,59,43,50,53,42,58,60,44
708,7,8,6,5,4,15,14,16,13,12
720,51,52,59,43,50,53,42,58,60,44
721,1,9,17,25,33,41,49,57,2,10
737,35,36,43,27,34,37,26,42,44,28
738,6,5,7,8,4,14,13,15,16,12
747,49,41,57,33,25,17,9,1,50,42
768,7,8,6,5,4,15,14,16,13,12
777,7,8,6,5,4,15,14,16,13,12
785,21,22,20,23,24,29,13,19,28,12
803,49,41,57,33,25,17,9,1,50,42
804,6,5,7,8,4,14,13,15,16,12
806,55,56,54,53,52,47,63,46,62,64
807,3,4,11,2,5,10,12,6,13,18
808,6,5,7,8,4,14,13,15,16,12
817,59,60,51,58,61,50,52,62,53,42
826,41,49,33,57,25,17,9,1,42,34
836,5,6,4,7,8,13,3,12,14,15
840,6,5,7,8,4,14,13,15,16,12
844,52,53,51,54,60,44,55,59,43,61
847,7,8,6,5,4,15,14,16,13,12
