,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
2,19,20,27,11,18,21,10,26,28,12
8,1,9,17,25,33,41,49,57,2,10
31,41,49,33,57,25,17,9,1,42,34
32,17,9,25,1,33,41,49,57,18,10
43,28,29,27,30,20,36,31,19,35,21
48,41,49,33,57,25,17,9,1,42,34
74,21,22,20,23,24,29,13,19,28,12
76,17,9,25,1,33,41,49,57,18,10
78,7,8,6,5,4,15,14,16,13,12
88,1,2,3,4,5,6,7,8,9,10
98,36,37,35,38,44,28,39,43,27,45
112,34,26,42,35,33,43,27,41,25,50
117,51,52,59,43,50,53,42,58,60,44
118,45,46,44,47,48,37,53,43,36,52
124,49,41,57,33,25,17,9,1,50,42
127,28,29,27,30,20,36,31,19,35,21
150,50,42,58,51,49,43,59,41,57,34
153,59,60,51,58,61,50,52,62,53,42
181,8,7,6,5,16,15,14,4,13,12
198,21,22,20,23,24,29,13,19,28,12
208,21,22,20,23,24,29,13,19,28,12
215,51,52,59,43,50,53,42,58,60,44
218,41,49,33,57,25,17,9,1,42,34
224,17,9,25,1,33,41,49,57,18,10
276,22,21,23,24,20,30,14,29,13,31
280,49,41,57,33,25,17,9,1,50,42
290,28,29,27,30,20,36,31,19,35,21
296,41,49,33,57,25,17,9,1,42,34
313,1,9,17,25,33,41,49,57,2,10
327,41,49,33,57,25,17,9,1,42,34
328,1,2,3,4,5,6,7,8,9,10
354,28,29,27,30,20,36,31,19,35,21
369,11,12,3,19,10,13,18,2,4,20
374,41,49,33,57,25,17,9,1,42,34
378,42,50,34,43,41,51,35,49,33,58
381,1,2,3,4,5,6,7,8,9,10
386,59,60,51,58,61,50,52,62,53,42
416,49,41,57,33,25,17,9,1,50,42
423,21,22,20,23,24,29,13,19,28,12
425,45,46,44,47,48,37,53,43,36,52
437,28,29,27,30,20,36,31,19,35,21
440,49,41,57,33,25,17,9,1,50,42
442,41,49,33,57,25,17,9,1,42,34
443,33,41,25,49,17,57,9,1,34,42
453,17,9,25,1,33,41,49,57,18,10
470,7,8,6,5,4,15,14,16,13,12
494,41,49,33,57,25,17,9,1,42,34
507,59,60,51,58,61,50,52,62,53,42
509,41,49,33,57,25,17,9,1,42,34
514,43,44,35,51,42,45,50,34,36,52
524,51,52,59,43,50,53,42,58,60,44
526,41,49,33,57,25,17,9,1,42,34
544,5,6,4,7,8,13,3,12,14,15
559,52,53,51,54,60,44,55,59,43,61
565,41,49,33,57,25,17,9,1,42,34
570,29,30,28,31,32,21,37,27,20,36
571,1,2,3,4,5,6,7,8,9,10
573,21,22,20,23,24,29,13,19,28,12
574,17,9,25,1,33,41,49,57,18,10
577,49,41,57,33,25,17,9,1,50,42
578,36,37,35,38,44,28,39,43,27,45
582,22,21,23,24,20,30,14,29,13,31
595,8,7,6,5,16,15,14,4,13,12
620,11,12,3,19,10,13,18,2,4,20
624,50,42,58,51,49,43,59,41,57,34
625,49,41,57,33,25,17,9,1,50,42
629,21,22,20,23,24,29,13,19,28,12
637,49,41,57,33,25,17,9,1,50,42
643,8,7,6,5,16,15,14,4,13,12
644,40,39,38,37,48,32,47,31,46,30
651,61,62,60,63,64,53,59,52,54,55
652,21,22,20,23,24,29,13,19,28,12
660,21,22,20,23,24,29,13,19,28,12
668,8,7,6,5,16,15,14,4,13,12
713,1,2,3,4,5,6,7,8,9,10
743,21,22,20,23,24,29,13,19,28,12
767,39,40,38,37,36,47,31,46,30,48
771,41,49,33,57,25,17,9,1,42,34
780,17,9,25,1,33,41,49,57,18,10
789,21,22,20,23,24,29,13,19,28,12
790,7,8,6,5,4,15,14,16,13,12
791,41,49,33,57,25,17,9,1,42,34
811,41,49,33,57,25,17,9,1,42,34
824,52,53,51,54,60,44,55,59,43,61
838,21,22,20,23,24,29,13,19,28,12
